Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Brandon Ingram,Shared Games with CJ McCollum,Shared Games with Dereon Seabron,Shared Games with Devonte' Graham,Shared Games with Dyson Daniels,Shared Games with Garrett Temple,Shared Games with Herbert Jones,Shared Games with Jaxson Hayes,Shared Games with Jonas Valančiūnas,Shared Games with Jose Alvarado,Shared Games with Kira Lewis Jr.,Shared Games with Larry Nance Jr.,Shared Games with Trey Murphy III,Shared Games with Willy Hernangómez,Shared Games with Zion Williamson,Brandon Ingram,CJ McCollum,Dereon Seabron,Devonte' Graham,Dyson Daniels,Garrett Temple,Herbert Jones,Jaxson Hayes,Jonas Valančiūnas,Jose Alvarado,Kira Lewis Jr.,Larry Nance Jr.,Trey Murphy III,Willy Hernangómez,Zion Williamson,co_inf with Brandon Ingram,co_inf with CJ McCollum,co_inf with Dereon Seabron,co_inf with Devonte' Graham,co_inf with Dyson Daniels,co_inf with Garrett Temple,co_inf with Herbert Jones,co_inf with Jaxson Hayes,co_inf with Jonas Valančiūnas,co_inf with Jose Alvarado,co_inf with Kira Lewis Jr.,co_inf with Larry Nance Jr.,co_inf with Trey Murphy III,co_inf with Willy Hernangómez,co_inf with Zion Williamson,Shared Games with Josh Richardson,Al Horford,Josh Richardson,co_inf with Al Horford,co_inf with Josh Richardson,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,11,2022-11-09,24-289,NOP,@,CHI,W (+4),0,22:08,4.0,8.0,.500,1.0,1.0,1.000,0,2.0,.000,1.0,4.0,5.0,0.0,0.0,0.0,2.0,2.0,9.0,3.3,+6,7.0,3.0,0.4285714285714285,45,72,5,48,54,22,61,43,74,56,25,61,74,35,27,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,79.0,38.0,29.0,1.0,0.96,1.0,0.6575342465753424,0.9152542372881356,0.88,0.9242424242424242,0.9148936170212766,0.9367088607594936,0.918032786885246,1.0,0.9384615384615383,0.9367088607594936,0.9210526315789472,0.9310344827586208,23,63.0,65.0,0.0,0.3538461538461538,16,2.0,75.0,4.6875,3.299999999999999,84.79999999999998,5.299999999999999
11,12,12,2022-11-10,24-290,NOP,,POR,L (-11),0,6:12,1.0,3.0,.333,1.0,2.0,.500,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.6,+6,1.0,0.0,0.0,45,72,5,48,54,22,61,43,74,56,25,61,74,35,27,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,79.0,38.0,29.0,1.0,0.96,1.0,0.6575342465753424,0.9152542372881356,0.88,0.9242424242424242,0.9148936170212766,0.9367088607594936,0.918032786885246,1.0,0.9384615384615383,0.9367088607594936,0.9210526315789472,0.9310344827586208,23,63.0,65.0,0.0,0.3538461538461538,16,1.0,63.0,3.9375,1.6,58.30000000000001,3.6437500000000007
12,13,13,2022-11-12,24-292,NOP,,HOU,W (+13),0,15:03,1.0,3.0,.333,1.0,1.0,1.000,0,0.0,,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,4.4,-19,2.0,0.0,0.0,45,72,5,48,54,22,61,43,74,56,25,61,74,35,27,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,79.0,38.0,29.0,1.0,0.96,1.0,0.6575342465753424,0.9152542372881356,0.88,0.9242424242424242,0.9148936170212766,0.9367088607594936,0.918032786885246,1.0,0.9384615384615383,0.9367088607594936,0.9210526315789472,0.9310344827586208,23,63.0,65.0,0.0,0.3538461538461538,16,4.0,57.0,3.5625,4.4,80.70000000000002,5.043750000000001
13,14,14,2022-11-15,24-295,NOP,,MEM,W (+11),0,25:27,1.0,5.0,.200,0.0,2.0,.000,2,2.0,1.000,0.0,8.0,8.0,4.0,0.0,0.0,2.0,2.0,4.0,3.3,+8,3.0,1.0,0.3333333333333333,45,72,5,48,54,22,61,43,74,56,25,61,74,35,27,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,79.0,38.0,29.0,1.0,0.96,1.0,0.6575342465753424,0.9152542372881356,0.88,0.9242424242424242,0.9148936170212766,0.9367088607594936,0.918032786885246,1.0,0.9384615384615383,0.9367088607594936,0.9210526315789472,0.9310344827586208,23,63.0,65.0,0.0,0.3538461538461538,16,7.0,93.0,5.8125,2.5000000000000018,89.4,5.5875
14,15,15,2022-11-16,24-296,NOP,,CHI,W (+14),0,18:07,1.0,6.0,.167,1.0,4.0,.250,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,-1.5,-6,2.0,0.0,0.0,45,72,5,48,54,22,61,43,74,56,25,61,74,35,27,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,79.0,38.0,29.0,1.0,0.96,1.0,0.6575342465753424,0.9152542372881356,0.88,0.9242424242424242,0.9148936170212766,0.9367088607594936,0.918032786885246,1.0,0.9384615384615383,0.9367088607594936,0.9210526315789472,0.9310344827586208,23,63.0,65.0,0.0,0.3538461538461538,16,-3.0,105.0,6.5625,-1.4999999999999996,99.0,6.1875
15,16,16,2022-11-18,24-298,NOP,,BOS,L (-8),0,21:31,3.0,5.0,.600,1.0,3.0,.333,2,2.0,1.000,0.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,9.0,9.7,-5,2.0,2.0,1.0,45,72,5,48,54,22,61,43,74,56,25,61,74,35,27,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,79.0,38.0,29.0,1.0,0.96,1.0,0.6575342465753424,0.9152542372881356,0.88,0.9242424242424242,0.9148936170212766,0.9367088607594936,0.918032786885246,1.0,0.9384615384615383,0.9367088607594936,0.9210526315789472,0.9310344827586208,23,63.0,65.0,0.0,0.3538461538461538,16,7.0,89.0,5.5625,8.899999999999999,83.29999999999998,5.206249999999999
16,17,17,2022-11-21,24-301,NOP,,GSW,W (+45),0,23:26,3.0,7.0,.429,0.0,2.0,.000,0,0.0,,0.0,4.0,4.0,7.0,1.0,0.0,1.0,0.0,6.0,8.4,+19,5.0,3.0,0.6,45,72,5,48,54,22,61,43,74,56,25,61,74,35,27,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,79.0,38.0,29.0,1.0,0.96,1.0,0.6575342465753424,0.9152542372881356,0.88,0.9242424242424242,0.9148936170212766,0.9367088607594936,0.918032786885246,1.0,0.9384615384615383,0.9367088607594936,0.9210526315789472,0.9310344827586208,23,63.0,65.0,0.0,0.3538461538461538,16,10.0,82.0,5.125,8.400000000000002,93.40000000000002,5.837500000000001
17,18,18,2022-11-23,24-303,NOP,@,SAS,W (+19),0,24:04,1.0,4.0,.250,0.0,1.0,.000,3,4.0,.750,0.0,1.0,1.0,5.0,0.0,0.0,2.0,1.0,5.0,3.6,+4,3.0,1.0,0.3333333333333333,45,72,5,48,54,22,61,43,74,56,25,61,74,35,27,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,79.0,38.0,29.0,1.0,0.96,1.0,0.6575342465753424,0.9152542372881356,0.88,0.9242424242424242,0.9148936170212766,0.9367088607594936,0.918032786885246,1.0,0.9384615384615383,0.9367088607594936,0.9210526315789472,0.9310344827586208,23,63.0,65.0,0.0,0.3538461538461538,16,1.0,94.0,5.875,2.3999999999999986,88.9,5.55625
18,19,19,2022-11-25,24-305,NOP,@,MEM,L (-21),0,13:55,3.0,6.0,.500,3.0,5.0,.600,0,0.0,,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,9.0,7.7,-9,1.0,0.0,0.0,45,72,5,48,54,22,61,43,74,56,25,61,74,35,27,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,79.0,38.0,29.0,1.0,0.96,1.0,0.6575342465753424,0.9152542372881356,0.88,0.9242424242424242,0.9148936170212766,0.9367088607594936,0.918032786885246,1.0,0.9384615384615383,0.9367088607594936,0.9210526315789472,0.9310344827586208,23,63.0,65.0,0.0,0.3538461538461538,16,6.0,66.0,4.125,7.699999999999999,64.9,4.05625
19,20,,2022-11-28,24-308,NOP,,OKC,W (+4),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,45,72,5,48,54,22,61,43,74,56,25,61,74,35,27,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,79.0,38.0,29.0,1.0,0.96,1.0,0.6575342465753424,0.9152542372881356,0.88,0.9242424242424242,0.9148936170212766,0.9367088607594936,0.918032786885246,1.0,0.9384615384615383,0.9367088607594936,0.9210526315789472,0.9310344827586208,23,63.0,65.0,0.0,0.3538461538461538,16,,80.0,5.0,0.0,71.9,4.49375
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,45,72,5,48,54,22,61,43,74,56,25,61,74,35,27,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,79.0,38.0,29.0,1.0,0.96,1.0,0.6575342465753424,0.9152542372881356,0.88,0.9242424242424242,0.9148936170212766,0.9367088607594936,0.918032786885246,1.0,0.9384615384615383,0.9367088607594936,0.9210526315789472,0.9310344827586208,23,63.0,65.0,0.0,0.3538461538461538,16,,0.0,0.0,0.0,0.0,0.0
21,21,,2022-11-30,24-310,NOP,,TOR,W (+18),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,45,72,5,48,54,22,61,43,74,56,25,61,74,35,27,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,79.0,38.0,29.0,1.0,0.96,1.0,0.6575342465753424,0.9152542372881356,0.88,0.9242424242424242,0.9148936170212766,0.9367088607594936,0.918032786885246,1.0,0.9384615384615383,0.9367088607594936,0.9210526315789472,0.9310344827586208,23,63.0,65.0,0.0,0.3538461538461538,16,,92.0,5.75,0.0,102.49999999999996,6.406249999999997
22,22,20,2022-12-02,24-312,NOP,@,SAS,W (+18),0,20:01,5.0,11.0,.455,1.0,5.0,.200,4,4.0,1.000,1.0,4.0,5.0,1.0,2.0,0.0,0.0,2.0,15.0,13.1,+5,6.0,4.0,0.6666666666666666,45,72,5,48,54,22,61,43,74,56,25,61,74,35,27,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,79.0,38.0,29.0,1.0,0.96,1.0,0.6575342465753424,0.9152542372881356,0.88,0.9242424242424242,0.9148936170212766,0.9367088607594936,0.918032786885246,1.0,0.9384615384615383,0.9367088607594936,0.9210526315789472,0.9310344827586208,23,63.0,65.0,0.0,0.3538461538461538,16,8.0,88.0,5.5,11.499999999999998,80.69999999999999,5.043749999999999
23,23,21,2022-12-04,24-314,NOP,,DEN,W (+15),0,23:57,1.0,4.0,.250,1.0,3.0,.333,0,0.0,,0.0,3.0,3.0,6.0,2.0,1.0,0.0,1.0,3.0,8.0,+23,1.0,0.0,0.0,45,72,5,48,54,22,61,43,74,56,25,61,74,35,27,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,79.0,38.0,29.0,1.0,0.96,1.0,0.6575342465753424,0.9152542372881356,0.88,0.9242424242424242,0.9148936170212766,0.9367088607594936,0.918032786885246,1.0,0.9384615384615383,0.9367088607594936,0.9210526315789472,0.9310344827586208,23,63.0,65.0,0.0,0.3538461538461538,16,11.0,64.0,4.0,7.999999999999998,80.9,5.05625
24,24,22,2022-12-07,24-317,NOP,,DET,W (+6),0,29:59,6.0,7.0,.857,3.0,4.0,.750,2,2.0,1.000,1.0,4.0,5.0,1.0,1.0,2.0,3.0,2.0,17.0,15.7,+2,3.0,3.0,1.0,45,72,5,48,54,22,61,43,74,56,25,61,74,35,27,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,79.0,38.0,29.0,1.0,0.96,1.0,0.6575342465753424,0.9152542372881356,0.88,0.9242424242424242,0.9148936170212766,0.9367088607594936,0.918032786885246,1.0,0.9384615384615383,0.9367088607594936,0.9210526315789472,0.9310344827586208,23,63.0,65.0,0.0,0.3538461538461538,16,14.0,61.0,3.8125,14.899999999999997,56.2,3.5125
25,25,23,2022-12-09,24-319,NOP,,PHO,W (+11),0,31:16,5.0,11.0,.455,2.0,6.0,.333,2,3.0,.667,1.0,1.0,2.0,4.0,1.0,0.0,0.0,2.0,14.0,11.9,-1,5.0,3.0,0.6,45,72,5,48,54,22,61,43,74,56,25,61,74,35,27,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,79.0,38.0,29.0,1.0,0.96,1.0,0.6575342465753424,0.9152542372881356,0.88,0.9242424242424242,0.9148936170212766,0.9367088607594936,0.918032786885246,1.0,0.9384615384615383,0.9367088607594936,0.9210526315789472,0.9310344827586208,23,63.0,65.0,0.0,0.3538461538461538,16,7.0,63.0,3.9375,11.1,88.8,5.55
26,26,24,2022-12-11,24-321,NOP,,PHO,W (+5),0,36:20,6.0,8.0,.750,0.0,0.0,,4,5.0,.800,1.0,4.0,5.0,5.0,0.0,0.0,1.0,2.0,16.0,16.0,-4,8.0,6.0,0.75,45,72,5,48,54,22,61,43,74,56,25,61,74,35,27,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,79.0,38.0,29.0,1.0,0.96,1.0,0.6575342465753424,0.9152542372881356,0.88,0.9242424242424242,0.9148936170212766,0.9367088607594936,0.918032786885246,1.0,0.9384615384615383,0.9367088607594936,0.9210526315789472,0.9310344827586208,23,63.0,65.0,0.0,0.3538461538461538,16,12.0,83.0,5.1875,14.399999999999997,89.90000000000002,5.618750000000001
27,27,25,2022-12-13,24-323,NOP,@,UTA,L (-21),0,22:30,2.0,5.0,.400,0.0,1.0,.000,2,2.0,1.000,0.0,3.0,3.0,2.0,0.0,1.0,0.0,0.0,6.0,6.3,-14,4.0,2.0,0.5,45,72,5,48,54,22,61,43,74,56,25,61,74,35,27,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,79.0,38.0,29.0,1.0,0.96,1.0,0.6575342465753424,0.9152542372881356,0.88,0.9242424242424242,0.9148936170212766,0.9367088607594936,0.918032786885246,1.0,0.9384615384615383,0.9367088607594936,0.9210526315789472,0.9310344827586208,23,63.0,65.0,0.0,0.3538461538461538,16,5.0,44.0,2.75,5.499999999999999,71.6,4.475
28,28,26,2022-12-15,24-325,NOP,@,UTA,L (-3),0,33:08,4.0,11.0,.364,0.0,4.0,.000,5,6.0,.833,1.0,1.0,2.0,2.0,4.0,0.0,1.0,2.0,13.0,11.1,-13,7.0,4.0,0.5714285714285714,45,72,5,48,54,22,61,43,74,56,25,61,74,35,27,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,79.0,38.0,29.0,1.0,0.96,1.0,0.6575342465753424,0.9152542372881356,0.88,0.9242424242424242,0.9148936170212766,0.9367088607594936,0.918032786885246,1.0,0.9384615384615383,0.9367088607594936,0.9210526315789472,0.9310344827586208,23,63.0,65.0,0.0,0.3538461538461538,16,3.0,71.0,4.4375,9.1,84.7,5.29375
29,29,27,2022-12-17,24-327,NOP,@,PHO,L (-4),0,17:38,3.0,8.0,.375,3.0,6.0,.500,2,2.0,1.000,2.0,2.0,4.0,2.0,0.0,0.0,0.0,1.0,11.0,9.6,-5,2.0,0.0,0.0,45,72,5,48,54,22,61,43,74,56,25,61,74,35,27,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,79.0,38.0,29.0,1.0,0.96,1.0,0.6575342465753424,0.9152542372881356,0.88,0.9242424242424242,0.9148936170212766,0.9367088607594936,0.918032786885246,1.0,0.9384615384615383,0.9367088607594936,0.9210526315789472,0.9310344827586208,23,63.0,65.0,0.0,0.3538461538461538,16,7.0,68.0,4.25,8.799999999999999,72.4,4.525
30,30,28,2022-12-19,24-329,NOP,,MIL,L (-9),0,14:39,1.0,6.0,.167,1.0,6.0,.167,0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,-1.1,-13,0.0,0.0,,45,72,5,48,54,22,61,43,74,56,25,61,74,35,27,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,79.0,38.0,29.0,1.0,0.96,1.0,0.6575342465753424,0.9152542372881356,0.88,0.9242424242424242,0.9148936170212766,0.9367088607594936,0.918032786885246,1.0,0.9384615384615383,0.9367088607594936,0.9210526315789472,0.9310344827586208,23,63.0,65.0,0.0,0.3538461538461538,16,-3.0,79.0,4.9375,-1.0999999999999996,85.7,5.35625
31,31,29,2022-12-22,24-332,NOP,,SAS,W (+9),1,24:46,3.0,6.0,.500,1.0,2.0,.500,0,0.0,,2.0,3.0,5.0,2.0,0.0,0.0,2.0,3.0,7.0,4.5,+3,4.0,2.0,0.5,45,72,5,48,54,22,61,43,74,56,25,61,74,35,27,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,79.0,38.0,29.0,1.0,0.96,1.0,0.6575342465753424,0.9152542372881356,0.88,0.9242424242424242,0.9148936170212766,0.9367088607594936,0.918032786885246,1.0,0.9384615384615383,0.9367088607594936,0.9210526315789472,0.9310344827586208,23,63.0,65.0,0.0,0.3538461538461538,16,6.0,81.0,5.0625,4.500000000000001,93.8,5.8625
