Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with De'Anthony Melton,Shared Games with Furkan Korkmaz,Shared Games with Georges Niang,Shared Games with Jaden Springer,Shared Games with James Harden,Shared Games with Joel Embiid,Shared Games with Matisse Thybulle,Shared Games with Montrezl Harrell,Shared Games with P.J. Tucker,Shared Games with Paul Reed,Shared Games with Shake Milton,Shared Games with Tobias Harris,Danuel House Jr.,De'Anthony Melton,Furkan Korkmaz,Georges Niang,Jaden Springer,James Harden,Joel Embiid,Julian Champagnie,Louis King,Matisse Thybulle,Michael Foster Jr.,Montrezl Harrell,P.J. Tucker,Paul Reed,Saben Lee,Shake Milton,Tobias Harris,Tyrese Maxey,co_inf with Danuel House Jr.,co_inf with De'Anthony Melton,co_inf with Furkan Korkmaz,co_inf with Georges Niang,co_inf with Jaden Springer,co_inf with James Harden,co_inf with Joel Embiid,co_inf with Julian Champagnie,co_inf with Louis King,co_inf with Matisse Thybulle,co_inf with Michael Foster Jr.,co_inf with Montrezl Harrell,co_inf with P.J. Tucker,co_inf with Paul Reed,co_inf with Saben Lee,co_inf with Shake Milton,co_inf with Tobias Harris,co_inf with Tyrese Maxey,Dewayne Dedmon,Grant Williams,Jalen McDaniels,co_inf with Dewayne Dedmon,co_inf with Grant Williams,co_inf with Jalen McDaniels,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
12.0,,2023-03-15,24-068,PHI,CLE,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2,2,1,1,2,2,2,2,2,2,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.0,0.0259740259740259,0.054054054054054,0.0128205128205128,0.0625,0.0344827586206896,0.0303030303030303,0.0,0.0,0.028169014084507,0.0,0.0350877192982456,0.0266666666666666,0.0289855072463768,0.0,0.0263157894736842,0.027027027027027,0.0,38.0,79.0,80.0,0.0,0.0,0.0,12,,59.0,4.916666666666667,0.0,40.8,3.4,19.2,0.1,0.5,2.2,-1.7,0.0026460626587637,0.563,0.55,0.25,0.0,0.1,W (+9),W (+9)
13.0,,2023-03-17,24-070,PHI,CHO,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2,2,1,1,2,2,2,2,2,2,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.0,0.0259740259740259,0.054054054054054,0.0128205128205128,0.0625,0.0344827586206896,0.0303030303030303,0.0,0.0,0.028169014084507,0.0,0.0350877192982456,0.0266666666666666,0.0289855072463768,0.0,0.0263157894736842,0.027027027027027,0.0,38.0,79.0,80.0,0.0,0.0,0.0,12,,103.0,8.583333333333334,0.0,62.80000000000001,5.233333333333334,19.2,0.1,0.5,2.2,-1.7,0.0026460626587637,0.563,0.55,0.25,0.0,0.1,W (+39),W (+39)
14.0,,2023-03-18,24-071,PHI,IND,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2,2,1,1,2,2,2,2,2,2,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.0,0.0259740259740259,0.054054054054054,0.0128205128205128,0.0625,0.0344827586206896,0.0303030303030303,0.0,0.0,0.028169014084507,0.0,0.0350877192982456,0.0266666666666666,0.0289855072463768,0.0,0.0263157894736842,0.027027027027027,0.0,38.0,79.0,80.0,0.0,0.0,0.0,12,,82.0,6.833333333333333,0.0,65.2,5.433333333333334,19.2,0.1,0.5,2.2,-1.7,0.0026460626587637,0.563,0.55,0.25,0.0,0.1,W (+20),W (+20)
15.0,,2023-03-20,24-073,PHI,CHI,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2,2,1,1,2,2,2,2,2,2,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.0,0.0259740259740259,0.054054054054054,0.0128205128205128,0.0625,0.0344827586206896,0.0303030303030303,0.0,0.0,0.028169014084507,0.0,0.0350877192982456,0.0266666666666666,0.0289855072463768,0.0,0.0263157894736842,0.027027027027027,0.0,38.0,79.0,80.0,0.0,0.0,0.0,12,,80.0,6.666666666666667,0.0,51.0,4.25,19.2,0.1,0.5,2.2,-1.7,0.0026460626587637,0.563,0.55,0.25,0.0,0.1,L (-4),L (-4)
16.0,,2023-03-22,24-075,PHI,CHI,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2,2,1,1,2,2,2,2,2,2,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.0,0.0259740259740259,0.054054054054054,0.0128205128205128,0.0625,0.0344827586206896,0.0303030303030303,0.0,0.0,0.028169014084507,0.0,0.0350877192982456,0.0266666666666666,0.0289855072463768,0.0,0.0263157894736842,0.027027027027027,0.0,38.0,79.0,80.0,0.0,0.0,0.0,12,,66.0,5.5,0.0,61.6,5.133333333333334,19.2,0.1,0.5,2.2,-1.7,0.0026460626587637,0.563,0.55,0.25,0.0,0.1,W (+25),W (+25)
17.0,,2023-03-24,24-077,PHI,GSW,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2,2,1,1,2,2,2,2,2,2,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.0,0.0259740259740259,0.054054054054054,0.0128205128205128,0.0625,0.0344827586206896,0.0303030303030303,0.0,0.0,0.028169014084507,0.0,0.0350877192982456,0.0266666666666666,0.0289855072463768,0.0,0.0263157894736842,0.027027027027027,0.0,38.0,79.0,80.0,0.0,0.0,0.0,12,,89.0,7.416666666666667,0.0,89.30000000000001,7.441666666666667,19.2,0.1,0.5,2.2,-1.7,0.0026460626587637,0.563,0.55,0.25,0.0,0.1,L (-8),L (-8)
18.0,,2023-03-25,24-078,PHI,PHO,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2,2,1,1,2,2,2,2,2,2,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.0,0.0259740259740259,0.054054054054054,0.0128205128205128,0.0625,0.0344827586206896,0.0303030303030303,0.0,0.0,0.028169014084507,0.0,0.0350877192982456,0.0266666666666666,0.0289855072463768,0.0,0.0263157894736842,0.027027027027027,0.0,38.0,79.0,80.0,0.0,0.0,0.0,12,,68.0,5.666666666666667,0.0,64.00000000000001,5.333333333333335,19.2,0.1,0.5,2.2,-1.7,0.0026460626587637,0.563,0.55,0.25,0.0,0.1,L (-20),L (-20)
19.0,,2023-03-27,24-080,PHI,DEN,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2,2,1,1,2,2,2,2,2,2,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.0,0.0259740259740259,0.054054054054054,0.0128205128205128,0.0625,0.0344827586206896,0.0303030303030303,0.0,0.0,0.028169014084507,0.0,0.0350877192982456,0.0266666666666666,0.0289855072463768,0.0,0.0263157894736842,0.027027027027027,0.0,38.0,79.0,80.0,0.0,0.0,0.0,12,,84.0,7.0,0.0,79.0,6.583333333333333,19.2,0.1,0.5,2.2,-1.7,0.0026460626587637,0.563,0.55,0.25,0.0,0.1,L (-5),L (-5)
20.0,,2023-03-29,24-082,PHI,DAL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2,2,1,1,2,2,2,2,2,2,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.0,0.0259740259740259,0.054054054054054,0.0128205128205128,0.0625,0.0344827586206896,0.0303030303030303,0.0,0.0,0.028169014084507,0.0,0.0350877192982456,0.0266666666666666,0.0289855072463768,0.0,0.0263157894736842,0.027027027027027,0.0,38.0,79.0,80.0,0.0,0.0,0.0,12,,122.0,10.166666666666666,0.0,104.3,8.691666666666666,19.2,0.1,0.5,2.2,-1.7,0.0026460626587637,0.563,0.55,0.25,0.0,0.1,W (+8),W (+8)
21.0,,2023-03-31,24-084,PHI,TOR,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2,2,1,1,2,2,2,2,2,2,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.0,0.0259740259740259,0.054054054054054,0.0128205128205128,0.0625,0.0344827586206896,0.0303030303030303,0.0,0.0,0.028169014084507,0.0,0.0350877192982456,0.0266666666666666,0.0289855072463768,0.0,0.0263157894736842,0.027027027027027,0.0,38.0,79.0,80.0,0.0,0.0,0.0,12,,89.0,7.416666666666667,0.0,71.7,5.9750000000000005,19.2,0.1,0.5,2.2,-1.7,0.0026460626587637,0.563,0.55,0.25,0.0,0.1,,
22.0,,2023-04-02,24-086,PHI,MIL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2,2,1,1,2,2,2,2,2,2,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.0,0.0259740259740259,0.054054054054054,0.0128205128205128,0.0625,0.0344827586206896,0.0303030303030303,0.0,0.0,0.028169014084507,0.0,0.0350877192982456,0.0266666666666666,0.0289855072463768,0.0,0.0263157894736842,0.027027027027027,0.0,38.0,79.0,80.0,0.0,0.0,0.0,12,,41.0,3.4166666666666665,0.0,41.7,3.475,19.2,0.1,0.5,2.2,-1.7,0.0026460626587637,0.563,0.55,0.25,0.0,0.1,W (+7),W (+7)
23.0,,2023-04-04,24-088,PHI,BOS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2,2,1,1,2,2,2,2,2,2,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.0,0.0259740259740259,0.054054054054054,0.0128205128205128,0.0625,0.0344827586206896,0.0303030303030303,0.0,0.0,0.028169014084507,0.0,0.0350877192982456,0.0266666666666666,0.0289855072463768,0.0,0.0263157894736842,0.027027027027027,0.0,38.0,79.0,80.0,0.0,0.0,0.0,12,,91.0,7.583333333333333,0.0,73.89999999999999,6.158333333333332,19.2,0.1,0.5,2.2,-1.7,0.0026460626587637,0.563,0.55,0.25,0.0,0.1,L (-13),L (-13)
24.0,,2023-04-06,24-090,PHI,MIA,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2,2,1,1,2,2,2,2,2,2,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.0,0.0259740259740259,0.054054054054054,0.0128205128205128,0.0625,0.0344827586206896,0.0303030303030303,0.0,0.0,0.028169014084507,0.0,0.0350877192982456,0.0266666666666666,0.0289855072463768,0.0,0.0263157894736842,0.027027027027027,0.0,38.0,79.0,80.0,0.0,0.0,0.0,12,,80.0,6.666666666666667,0.0,74.0,6.166666666666667,19.2,0.1,0.5,2.2,-1.7,0.0026460626587637,0.563,0.55,0.25,0.0,0.1,W (+2),W (+2)
25.0,1.0,2023-04-07,24-091,PHI,ATL,0.0,7.816666666666666,1.0,3.0,0.333,1.0,2.0,0.5,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,5.0,1.6,-11.0,1.0,0.0,0.0,2,2,1,1,2,2,2,2,2,2,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.0,0.0259740259740259,0.054054054054054,0.0128205128205128,0.0625,0.0344827586206896,0.0303030303030303,0.0,0.0,0.028169014084507,0.0,0.0350877192982456,0.0266666666666666,0.0289855072463768,0.0,0.0263157894736842,0.027027027027027,0.0,38.0,79.0,80.0,0.0,0.0,0.0,12,-1.0,103.0,8.583333333333334,0.8000000000000007,92.0,7.666666666666667,19.2,0.1,0.5,2.2,-1.7,0.0026460626587637,0.563,0.55,0.25,0.0,0.1,L (-28),L (-28)
26.0,2.0,2023-04-09,24-093,PHI,BRK,0.0,33.25,8.0,17.0,0.471,3.0,9.0,0.333,1.0,3.0,0.333,3.0,6.0,9.0,9.0,0.0,0.0,1.0,3.0,20.0,18.5,29.0,8.0,5.0,0.625,2,2,1,1,2,2,2,2,2,2,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.0,0.0259740259740259,0.054054054054054,0.0128205128205128,0.0625,0.0344827586206896,0.0303030303030303,0.0,0.0,0.028169014084507,0.0,0.0350877192982456,0.0266666666666666,0.0289855072463768,0.0,0.0263157894736842,0.027027027027027,0.0,38.0,79.0,80.0,0.0,0.0,0.0,12,17.0,105.0,8.75,18.1,102.5,8.541666666666666,19.2,0.1,0.5,2.2,-1.7,0.0026460626587637,0.563,0.55,0.25,0.0,0.1,W (+5),W (+5)
