Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Andre Iguodala,Shared Games with Andrew Wiggins,Shared Games with Anthony Lamb,Shared Games with Donte DiVincenzo,Shared Games with Draymond Green,Shared Games with James Wiseman,Shared Games with JaMychal Green,Shared Games with Jonathan Kuminga,Shared Games with Kevon Looney,Shared Games with Klay Thompson,Shared Games with Moses Moody,Shared Games with Patrick Baldwin Jr.,Shared Games with Ryan Rollins,Shared Games with Stephen Curry,Shared Games with Ty Jerome,Andre Iguodala,Andrew Wiggins,Anthony Lamb,Donte DiVincenzo,Draymond Green,James Wiseman,JaMychal Green,Jonathan Kuminga,Kevon Looney,Klay Thompson,Lester Quinones,Moses Moody,Patrick Baldwin Jr.,Ryan Rollins,Stephen Curry,Ty Jerome,co_inf with Andre Iguodala,co_inf with Andrew Wiggins,co_inf with Anthony Lamb,co_inf with Donte DiVincenzo,co_inf with Draymond Green,co_inf with James Wiseman,co_inf with JaMychal Green,co_inf with Jonathan Kuminga,co_inf with Kevon Looney,co_inf with Klay Thompson,co_inf with Lester Quinones,co_inf with Moses Moody,co_inf with Patrick Baldwin Jr.,co_inf with Ryan Rollins,co_inf with Stephen Curry,co_inf with Ty Jerome,Shared Games with Gary Payton II,Gary Payton II,Jalen Johnson,co_inf with Gary Payton II,co_inf with Jalen Johnson,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
14,15,15,2022-11-16,23-150,GSW,@,PHO,L (-11),0,26:45,0.0,5.0,.000,0.0,3.0,.000,2,2.0,1.000,1.0,1.0,2.0,8.0,0.0,1.0,1.0,2.0,2.0,4.0,-2,2.0,0.0,0.0,8,37,62,72,73,21,57,67,82,69,63,31,12,56,45,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,1.0,1.0,1.0,1.0,0.4666666666666667,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7,22.0,70.0,0.3181818181818182,0.0,16,5.0,66.0,4.125,3.2,77.7,4.85625
15,16,16,2022-11-18,23-152,GSW,,NYK,W (+10),0,26:09,5.0,17.0,.294,3.0,8.0,.375,0,0.0,,1.0,2.0,3.0,4.0,0.0,1.0,3.0,3.0,13.0,3.7,-15,9.0,2.0,0.2222222222222222,8,37,62,72,73,21,57,67,82,69,63,31,12,56,45,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,1.0,1.0,1.0,1.0,0.4666666666666667,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7,22.0,70.0,0.3181818181818182,0.0,16,1.0,73.0,4.5625,3.700000000000002,78.19999999999999,4.887499999999999
16,17,17,2022-11-20,23-154,GSW,@,HOU,W (+7),0,24:33,3.0,8.0,.375,1.0,2.0,.500,3,3.0,1.000,0.0,2.0,2.0,4.0,0.0,1.0,1.0,0.0,10.0,8.7,-6,6.0,2.0,0.3333333333333333,8,37,62,72,73,21,57,67,82,69,63,31,12,56,45,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,1.0,1.0,1.0,1.0,0.4666666666666667,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7,22.0,70.0,0.3181818181818182,0.0,16,5.0,102.0,6.375,7.4999999999999964,99.2,6.2
17,18,18,2022-11-21,23-155,GSW,@,NOP,L (-45),1,26:56,9.0,18.0,.500,2.0,9.0,.222,6,7.0,.857,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,26.0,13.9,-25,9.0,7.0,0.7777777777777778,8,37,62,72,73,21,57,67,82,69,63,31,12,56,45,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,1.0,1.0,1.0,1.0,0.4666666666666667,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7,22.0,70.0,0.3181818181818182,0.0,16,-1.0,40.0,2.5,11.500000000000002,25.5,1.59375
18,19,19,2022-11-23,23-157,GSW,,LAC,W (+17),0,21:38,3.0,15.0,.200,0.0,8.0,.000,2,3.0,.667,0.0,1.0,1.0,5.0,0.0,1.0,2.0,3.0,8.0,-0.4,+19,7.0,3.0,0.4285714285714285,8,37,62,72,73,21,57,67,82,69,63,31,12,56,45,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,1.0,1.0,1.0,1.0,0.4666666666666667,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7,22.0,70.0,0.3181818181818182,0.0,16,-5.0,108.0,6.75,-1.200000000000001,105.9,6.61875
19,20,20,2022-11-25,23-159,GSW,,UTA,W (+11),0,25:33,7.0,15.0,.467,2.0,8.0,.250,3,3.0,1.000,0.0,4.0,4.0,6.0,0.0,0.0,3.0,1.0,19.0,13.3,+4,7.0,5.0,0.7142857142857143,8,37,62,72,73,21,57,67,82,69,63,31,12,56,45,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,1.0,1.0,1.0,1.0,0.4666666666666667,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7,22.0,70.0,0.3181818181818182,0.0,16,8.0,93.0,5.8125,12.1,93.9,5.86875
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,8,37,62,72,73,21,57,67,82,69,63,31,12,56,45,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,1.0,1.0,1.0,1.0,0.4666666666666667,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7,22.0,70.0,0.3181818181818182,0.0,16,,0.0,0.0,0.0,0.0,0.0
21,21,21,2022-11-27,23-161,GSW,@,MIN,W (+23),0,26:52,9.0,17.0,.529,3.0,9.0,.333,3,4.0,.750,1.0,3.0,4.0,6.0,0.0,0.0,4.0,4.0,24.0,15.5,+9,8.0,6.0,0.75,8,37,62,72,73,21,57,67,82,69,63,31,12,56,45,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,1.0,1.0,1.0,1.0,0.4666666666666667,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7,22.0,70.0,0.3181818181818182,0.0,16,9.0,101.0,6.3125,14.299999999999995,101.09999999999998,6.318749999999999
22,22,22,2022-11-29,23-163,GSW,@,DAL,L (-3),0,26:52,3.0,9.0,.333,1.0,6.0,.167,2,2.0,1.000,0.0,2.0,2.0,9.0,1.0,0.0,5.0,4.0,9.0,5.2,+14,3.0,2.0,0.6666666666666666,8,37,62,72,73,21,57,67,82,69,63,31,12,56,45,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,1.0,1.0,1.0,1.0,0.4666666666666667,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7,22.0,70.0,0.3181818181818182,0.0,16,5.0,65.0,4.0625,4.399999999999997,73.4,4.5875
23,23,23,2022-12-02,23-166,GSW,,CHI,W (+8),0,23:24,11.0,18.0,.611,7.0,13.0,.538,1,2.0,.500,0.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,30.0,20.0,-6,5.0,4.0,0.8,8,37,62,72,73,21,57,67,82,69,63,31,12,56,45,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,1.0,1.0,1.0,1.0,0.4666666666666667,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7,22.0,70.0,0.3181818181818182,0.0,16,10.0,85.0,5.3125,19.6,65.2,4.075
24,24,24,2022-12-03,23-167,GSW,,HOU,W (+19),1,27:42,8.0,14.0,.571,5.0,8.0,.625,0,0.0,,0.0,2.0,2.0,5.0,1.0,0.0,2.0,4.0,21.0,15.9,+25,6.0,3.0,0.5,8,37,62,72,73,21,57,67,82,69,63,31,12,56,45,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,1.0,1.0,1.0,1.0,0.4666666666666667,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7,22.0,70.0,0.3181818181818182,0.0,16,13.0,91.0,5.6875,15.9,84.20000000000002,5.262500000000001
25,25,25,2022-12-05,23-169,GSW,,IND,L (-8),1,31:45,10.0,21.0,.476,2.0,8.0,.250,1,1.0,1.000,1.0,4.0,5.0,4.0,0.0,1.0,3.0,1.0,23.0,14.3,-6,13.0,8.0,0.6153846153846154,8,37,62,72,73,21,57,67,82,69,63,31,12,56,45,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,1.0,1.0,1.0,1.0,0.4666666666666667,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7,22.0,70.0,0.3181818181818182,0.0,16,8.0,63.0,3.9375,13.900000000000002,59.6,3.725
26,26,26,2022-12-07,23-171,GSW,@,UTA,L (-1),1,36:49,10.0,23.0,.435,4.0,13.0,.308,12,13.0,.923,1.0,3.0,4.0,8.0,0.0,0.0,6.0,1.0,36.0,24.3,+4,10.0,6.0,0.6,8,37,62,72,73,21,57,67,82,69,63,31,12,56,45,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,1.0,1.0,1.0,1.0,0.4666666666666667,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7,22.0,70.0,0.3181818181818182,0.0,16,6.0,63.0,3.9375,19.500000000000007,67.39999999999998,4.212499999999999
27,27,27,2022-12-10,23-174,GSW,,BOS,W (+16),1,32:35,5.0,16.0,.313,1.0,9.0,.111,9,10.0,.900,0.0,3.0,3.0,4.0,0.0,1.0,2.0,1.0,20.0,12.4,-1,7.0,4.0,0.5714285714285714,8,37,62,72,73,21,57,67,82,69,63,31,12,56,45,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,1.0,1.0,1.0,1.0,0.4666666666666667,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7,22.0,70.0,0.3181818181818182,0.0,16,0.0,88.0,5.5,8.799999999999999,85.29999999999998,5.331249999999999
28,28,28,2022-12-13,23-177,GSW,@,MIL,L (-17),1,31:53,6.0,17.0,.353,3.0,7.0,.429,3,3.0,1.000,0.0,2.0,2.0,3.0,0.0,0.0,4.0,2.0,18.0,6.4,-13,10.0,3.0,0.3,8,37,62,72,73,21,57,67,82,69,63,31,12,56,45,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,1.0,1.0,1.0,1.0,0.4666666666666667,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7,22.0,70.0,0.3181818181818182,0.0,16,-1.0,60.0,3.75,5.200000000000003,61.89999999999998,3.8687499999999986
29,29,29,2022-12-14,23-178,GSW,@,IND,L (-6),1,33:16,8.0,22.0,.364,1.0,7.0,.143,3,3.0,1.000,2.0,3.0,5.0,5.0,1.0,0.0,4.0,5.0,20.0,8.6,+5,15.0,7.0,0.4666666666666667,8,37,62,72,73,21,57,67,82,69,63,31,12,56,45,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,1.0,1.0,1.0,1.0,0.4666666666666667,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7,22.0,70.0,0.3181818181818182,0.0,16,2.0,65.0,4.0625,7.399999999999999,70.1,4.38125
30,30,30,2022-12-16,23-180,GSW,@,PHI,L (-12),1,36:51,10.0,20.0,.500,4.0,9.0,.444,5,6.0,.833,0.0,1.0,1.0,4.0,1.0,0.0,4.0,2.0,29.0,17.9,-9,11.0,6.0,0.5454545454545454,8,37,62,72,73,21,57,67,82,69,63,31,12,56,45,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,1.0,1.0,1.0,1.0,0.4666666666666667,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7,22.0,70.0,0.3181818181818182,0.0,16,5.0,73.0,4.5625,15.899999999999997,60.7,3.79375
31,31,31,2022-12-18,23-182,GSW,@,TOR,W (+16),1,34:35,14.0,23.0,.609,5.0,11.0,.455,10,11.0,.909,0.0,1.0,1.0,6.0,1.0,0.0,4.0,4.0,43.0,32.0,+11,12.0,9.0,0.75,8,37,62,72,73,21,57,67,82,69,63,31,12,56,45,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,1.0,1.0,1.0,1.0,0.4666666666666667,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7,22.0,70.0,0.3181818181818182,0.0,16,13.0,72.0,4.5,28.0,68.19999999999999,4.262499999999999
32,32,32,2022-12-20,23-184,GSW,@,NYK,L (-38),1,29:00,8.0,18.0,.444,2.0,8.0,.250,8,9.0,.889,0.0,2.0,2.0,1.0,1.0,0.0,4.0,1.0,26.0,14.1,-27,10.0,6.0,0.6,8,37,62,72,73,21,57,67,82,69,63,31,12,56,45,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,1.0,1.0,1.0,1.0,0.4666666666666667,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7,22.0,70.0,0.3181818181818182,0.0,16,-1.0,43.0,2.6875,10.9,43.0,2.6875
33,33,33,2022-12-21,23-185,GSW,@,BRK,L (-30),1,26:11,4.0,17.0,.235,1.0,11.0,.091,4,4.0,1.000,0.0,1.0,1.0,2.0,1.0,0.0,7.0,1.0,13.0,-2.0,-31,6.0,3.0,0.5,8,37,62,72,73,21,57,67,82,69,63,31,12,56,45,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,1.0,1.0,1.0,1.0,0.4666666666666667,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7,22.0,70.0,0.3181818181818182,0.0,16,-11.0,55.0,3.4375,-3.599999999999998,57.1,3.56875
34,34,34,2022-12-25,23-189,GSW,,MEM,W (+14),1,29:12,11.0,25.0,.440,3.0,10.0,.300,7,8.0,.875,0.0,3.0,3.0,2.0,0.0,0.0,5.0,1.0,32.0,15.4,+6,15.0,8.0,0.5333333333333333,8,37,62,72,73,21,57,67,82,69,63,31,12,56,45,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,1.0,1.0,1.0,1.0,0.4666666666666667,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7,22.0,70.0,0.3181818181818182,0.0,16,-1.0,96.0,6.0,12.599999999999998,85.29999999999998,5.331249999999999
