Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with A.J. Lawson,Shared Games with Austin Rivers,Shared Games with Bryn Forbes,Shared Games with D'Angelo Russell,Shared Games with Jaden McDaniels,Shared Games with Jaylen Nowell,Shared Games with Jordan McLaughlin,Shared Games with Josh Minott,Shared Games with Karl-Anthony Towns,Shared Games with Kyle Anderson,Shared Games with Luka Garza,Shared Games with Nathan Knight,Shared Games with Naz Reid,Shared Games with Rudy Gobert,Shared Games with Taurean Prince,Shared Games with Wendell Moore Jr.,A.J. Lawson,Austin Rivers,Bryn Forbes,D'Angelo Russell,Jaden McDaniels,Jaylen Nowell,Jordan McLaughlin,Josh Minott,Karl-Anthony Towns,Kyle Anderson,Luka Garza,Nathan Knight,Naz Reid,Rudy Gobert,Taurean Prince,Wendell Moore Jr.,co_inf with A.J. Lawson,co_inf with Austin Rivers,co_inf with Bryn Forbes,co_inf with D'Angelo Russell,co_inf with Jaden McDaniels,co_inf with Jaylen Nowell,co_inf with Jordan McLaughlin,co_inf with Josh Minott,co_inf with Karl-Anthony Towns,co_inf with Kyle Anderson,co_inf with Luka Garza,co_inf with Nathan Knight,co_inf with Naz Reid,co_inf with Rudy Gobert,co_inf with Taurean Prince,co_inf with Wendell Moore Jr.,Shared Games with Matt Ryan,Shared Games with Mike Conley,Shared Games with Nickeil Alexander-Walker,Matt Ryan,Mike Conley,Nickeil Alexander-Walker,Vit Krejci,co_inf with Matt Ryan,co_inf with Mike Conley,co_inf with Nickeil Alexander-Walker,co_inf with Vit Krejci,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,Co_Points_Share,New Column,Result
11.0,11.0,2022-11-07,21-094,MIN,NYK,1.0,36.56666666666667,5.0,14.0,0.357,1.0,7.0,0.143,5.0,6.0,0.833,1.0,8.0,9.0,1.0,1.0,0.0,3.0,1.0,16.0,9.2,-6.0,7.0,4.0,0.5714285714285714,1,51,25,54,76,63,41,14,28,66,27,37,65,67,51,28,15.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9807692307692308,1.0,0.7605633802816901,0.9620253164556962,0.9692307692307692,0.9534883720930232,0.9333333333333332,0.9655172413793104,0.9565217391304348,0.9642857142857144,0.9736842105263158,0.9558823529411764,0.9571428571428572,0.9444444444444444,0.9655172413793104,22,21,20,34.0,67.0,59.0,29.0,0.6470588235294118,0.3134328358208955,0.3389830508474576,0.0,19,4.0,68.0,3.5789473684210527,7.1999999999999975,72.5,3.8157894736842106,0.2049715609858858,L (-13),L (-13)
12.0,12.0,2022-11-09,21-096,MIN,PHO,1.0,34.916666666666664,4.0,12.0,0.333,0.0,4.0,0.0,3.0,6.0,0.5,0.0,3.0,3.0,6.0,2.0,0.0,3.0,5.0,11.0,5.1,-2.0,8.0,4.0,0.5,1,51,25,54,76,63,41,14,28,66,27,37,65,67,51,28,15.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9807692307692308,1.0,0.7605633802816901,0.9620253164556962,0.9692307692307692,0.9534883720930232,0.9333333333333332,0.9655172413793104,0.9565217391304348,0.9642857142857144,0.9736842105263158,0.9558823529411764,0.9571428571428572,0.9444444444444444,0.9655172413793104,22,21,20,34.0,67.0,59.0,29.0,0.6470588235294118,0.3134328358208955,0.3389830508474576,0.0,19,1.0,69.0,3.631578947368421,3.9,78.2,4.11578947368421,0.2049715609858858,L (-12),L (-12)
13.0,13.0,2022-11-11,21-098,MIN,MEM,1.0,37.7,10.0,16.0,0.625,3.0,4.0,0.75,5.0,7.0,0.714,1.0,5.0,6.0,6.0,0.0,0.0,1.0,1.0,28.0,25.0,2.0,12.0,7.0,0.5833333333333334,1,51,25,54,76,63,41,14,28,66,27,37,65,67,51,28,15.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9807692307692308,1.0,0.7605633802816901,0.9620253164556962,0.9692307692307692,0.9534883720930232,0.9333333333333332,0.9655172413793104,0.9565217391304348,0.9642857142857144,0.9736842105263158,0.9558823529411764,0.9571428571428572,0.9444444444444444,0.9655172413793104,22,21,20,34.0,67.0,59.0,29.0,0.6470588235294118,0.3134328358208955,0.3389830508474576,0.0,19,16.0,57.0,3.0,23.000000000000007,61.7,3.247368421052632,0.2049715609858858,L (-11),L (-11)
14.0,14.0,2022-11-13,21-100,MIN,CLE,1.0,31.116666666666667,5.0,13.0,0.385,0.0,3.0,0.0,0.0,0.0,,0.0,7.0,7.0,1.0,0.0,0.0,4.0,5.0,10.0,-0.3,-11.0,10.0,5.0,0.5,1,51,25,54,76,63,41,14,28,66,27,37,65,67,51,28,15.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9807692307692308,1.0,0.7605633802816901,0.9620253164556962,0.9692307692307692,0.9534883720930232,0.9333333333333332,0.9655172413793104,0.9565217391304348,0.9642857142857144,0.9736842105263158,0.9558823529411764,0.9571428571428572,0.9444444444444444,0.9655172413793104,22,21,20,34.0,67.0,59.0,29.0,0.6470588235294118,0.3134328358208955,0.3389830508474576,0.0,19,1.0,68.0,3.5789473684210527,-0.3000000000000007,73.5,3.8684210526315774,0.2049715609858858,W (+5),W (+5)
15.0,15.0,2022-11-16,21-103,MIN,ORL,1.0,38.71666666666667,12.0,20.0,0.6,7.0,13.0,0.538,4.0,7.0,0.571,0.0,8.0,8.0,6.0,2.0,1.0,1.0,1.0,35.0,32.5,29.0,7.0,5.0,0.7142857142857143,1,51,25,54,76,63,41,14,28,66,27,37,65,67,51,28,15.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9807692307692308,1.0,0.7605633802816901,0.9620253164556962,0.9692307692307692,0.9534883720930232,0.9333333333333332,0.9655172413793104,0.9565217391304348,0.9642857142857144,0.9736842105263158,0.9558823529411764,0.9571428571428572,0.9444444444444444,0.9655172413793104,22,21,20,34.0,67.0,59.0,29.0,0.6470588235294118,0.3134328358208955,0.3389830508474576,0.0,19,24.0,56.0,2.9473684210526314,30.9,65.5,3.4473684210526314,0.2049715609858858,W (+18),W (+18)
16.0,16.0,2022-11-19,21-106,MIN,PHI,1.0,35.7,7.0,21.0,0.333,2.0,10.0,0.2,9.0,9.0,1.0,0.0,5.0,5.0,5.0,1.0,1.0,5.0,2.0,25.0,14.0,2.0,11.0,5.0,0.4545454545454545,1,51,25,54,76,63,41,14,28,66,27,37,65,67,51,28,15.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9807692307692308,1.0,0.7605633802816901,0.9620253164556962,0.9692307692307692,0.9534883720930232,0.9333333333333332,0.9655172413793104,0.9565217391304348,0.9642857142857144,0.9736842105263158,0.9558823529411764,0.9571428571428572,0.9444444444444444,0.9655172413793104,22,21,20,34.0,67.0,59.0,29.0,0.6470588235294118,0.3134328358208955,0.3389830508474576,0.0,19,2.0,66.0,3.473684210526316,10.4,63.1,3.321052631578948,0.2049715609858858,W (+3),W (+3)
17.0,17.0,2022-11-21,21-108,MIN,MIA,1.0,38.5,9.0,21.0,0.429,4.0,12.0,0.333,0.0,1.0,0.0,1.0,6.0,7.0,4.0,4.0,1.0,4.0,3.0,22.0,15.3,0.0,9.0,5.0,0.5555555555555556,1,51,25,54,76,63,41,14,28,66,27,37,65,67,51,28,15.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9807692307692308,1.0,0.7605633802816901,0.9620253164556962,0.9692307692307692,0.9534883720930232,0.9333333333333332,0.9655172413793104,0.9565217391304348,0.9642857142857144,0.9736842105263158,0.9558823529411764,0.9571428571428572,0.9444444444444444,0.9655172413793104,22,21,20,34.0,67.0,59.0,29.0,0.6470588235294118,0.3134328358208955,0.3389830508474576,0.0,19,12.0,63.0,3.3157894736842106,15.300000000000004,66.6,3.5052631578947366,0.2049715609858858,W (+4),W (+4)
18.0,18.0,2022-11-23,21-110,MIN,IND,1.0,35.78333333333333,7.0,14.0,0.5,3.0,5.0,0.6,2.0,2.0,1.0,0.0,7.0,7.0,2.0,1.0,0.0,4.0,2.0,19.0,11.7,10.0,9.0,4.0,0.4444444444444444,1,51,25,54,76,63,41,14,28,66,27,37,65,67,51,28,15.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9807692307692308,1.0,0.7605633802816901,0.9620253164556962,0.9692307692307692,0.9534883720930232,0.9333333333333332,0.9655172413793104,0.9565217391304348,0.9642857142857144,0.9736842105263158,0.9558823529411764,0.9571428571428572,0.9444444444444444,0.9655172413793104,22,21,20,34.0,67.0,59.0,29.0,0.6470588235294118,0.3134328358208955,0.3389830508474576,0.0,19,9.0,74.0,3.8947368421052633,10.9,71.80000000000001,3.778947368421053,0.2049715609858858,W (+14),W (+14)
19.0,19.0,2022-11-25,21-112,MIN,CHO,1.0,36.68333333333333,10.0,21.0,0.476,3.0,10.0,0.3,2.0,2.0,1.0,1.0,4.0,5.0,4.0,1.0,0.0,2.0,3.0,25.0,16.8,7.0,11.0,7.0,0.6363636363636364,1,51,25,54,76,63,41,14,28,66,27,37,65,67,51,28,15.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9807692307692308,1.0,0.7605633802816901,0.9620253164556962,0.9692307692307692,0.9534883720930232,0.9333333333333332,0.9655172413793104,0.9565217391304348,0.9642857142857144,0.9736842105263158,0.9558823529411764,0.9571428571428572,0.9444444444444444,0.9655172413793104,22,21,20,34.0,67.0,59.0,29.0,0.6470588235294118,0.3134328358208955,0.3389830508474576,0.0,19,10.0,35.0,1.8421052631578947,15.999999999999996,35.499999999999986,1.868421052631578,0.2049715609858858,L (-2),L (-2)
20.0,20.0,2022-11-27,21-114,MIN,GSW,1.0,35.6,7.0,17.0,0.412,2.0,6.0,0.333,10.0,11.0,0.909,1.0,3.0,4.0,4.0,1.0,0.0,1.0,1.0,26.0,20.5,-29.0,11.0,5.0,0.4545454545454545,1,51,25,54,76,63,41,14,28,66,27,37,65,67,51,28,15.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9807692307692308,1.0,0.7605633802816901,0.9620253164556962,0.9692307692307692,0.9534883720930232,0.9333333333333332,0.9655172413793104,0.9565217391304348,0.9642857142857144,0.9736842105263158,0.9558823529411764,0.9571428571428572,0.9444444444444444,0.9655172413793104,22,21,20,34.0,67.0,59.0,29.0,0.6470588235294118,0.3134328358208955,0.3389830508474576,0.0,19,6.0,29.0,1.5263157894736843,16.5,40.6,2.136842105263158,0.2049715609858858,L (-23),L (-23)
21.0,21.0,2022-11-28,21-115,MIN,WAS,1.0,36.81666666666667,9.0,19.0,0.474,1.0,6.0,0.167,10.0,11.0,0.909,3.0,5.0,8.0,2.0,2.0,0.0,7.0,2.0,29.0,18.1,-25.0,13.0,8.0,0.6153846153846154,1,51,25,54,76,63,41,14,28,66,27,37,65,67,51,28,15.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9807692307692308,1.0,0.7605633802816901,0.9620253164556962,0.9692307692307692,0.9534883720930232,0.9333333333333332,0.9655172413793104,0.9565217391304348,0.9642857142857144,0.9736842105263158,0.9558823529411764,0.9571428571428572,0.9444444444444444,0.9655172413793104,22,21,20,34.0,67.0,59.0,29.0,0.6470588235294118,0.3134328358208955,0.3389830508474576,0.0,19,4.0,54.0,2.8421052631578947,14.100000000000003,65.7,3.4578947368421056,0.2049715609858858,,
22.0,22.0,2022-11-30,21-117,MIN,MEM,1.0,40.1,10.0,18.0,0.556,2.0,6.0,0.333,7.0,7.0,1.0,0.0,3.0,3.0,5.0,5.0,3.0,1.0,4.0,29.0,29.3,12.0,12.0,8.0,0.6666666666666666,1,51,25,54,76,63,41,14,28,66,27,37,65,67,51,28,15.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9807692307692308,1.0,0.7605633802816901,0.9620253164556962,0.9692307692307692,0.9534883720930232,0.9333333333333332,0.9655172413793104,0.9565217391304348,0.9642857142857144,0.9736842105263158,0.9558823529411764,0.9571428571428572,0.9444444444444444,0.9655172413793104,22,21,20,34.0,67.0,59.0,29.0,0.6470588235294118,0.3134328358208955,0.3389830508474576,0.0,19,19.0,44.0,2.3157894736842106,26.5,53.4,2.810526315789473,0.2049715609858858,L (-15),L (-15)
23.0,23.0,2022-12-03,21-120,MIN,OKC,1.0,37.43333333333333,10.0,22.0,0.455,2.0,6.0,0.333,4.0,6.0,0.667,0.0,3.0,3.0,4.0,6.0,0.0,5.0,2.0,26.0,17.7,5.0,16.0,8.0,0.5,1,51,25,54,76,63,41,14,28,66,27,37,65,67,51,28,15.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9807692307692308,1.0,0.7605633802816901,0.9620253164556962,0.9692307692307692,0.9534883720930232,0.9333333333333332,0.9655172413793104,0.9565217391304348,0.9642857142857144,0.9736842105263158,0.9558823529411764,0.9571428571428572,0.9444444444444444,0.9655172413793104,22,21,20,34.0,67.0,59.0,29.0,0.6470588235294118,0.3134328358208955,0.3389830508474576,0.0,19,6.0,68.0,3.5789473684210527,16.099999999999998,63.7,3.3526315789473684,0.2049715609858858,W (+8),W (+8)
24.0,24.0,2022-12-07,21-124,MIN,IND,1.0,35.016666666666666,8.0,18.0,0.444,1.0,3.0,0.333,9.0,10.0,0.9,1.0,7.0,8.0,8.0,6.0,0.0,6.0,3.0,26.0,23.4,-4.0,15.0,7.0,0.4666666666666667,1,51,25,54,76,63,41,14,28,66,27,37,65,67,51,28,15.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9807692307692308,1.0,0.7605633802816901,0.9620253164556962,0.9692307692307692,0.9534883720930232,0.9333333333333332,0.9655172413793104,0.9565217391304348,0.9642857142857144,0.9736842105263158,0.9558823529411764,0.9571428571428572,0.9444444444444444,0.9655172413793104,22,21,20,34.0,67.0,59.0,29.0,0.6470588235294118,0.3134328358208955,0.3389830508474576,0.0,19,14.0,56.0,2.9473684210526314,19.8,59.9,3.152631578947368,0.2049715609858858,L (-7),L (-7)
25.0,25.0,2022-12-09,21-126,MIN,UTA,1.0,34.36666666666667,3.0,14.0,0.214,2.0,6.0,0.333,6.0,6.0,1.0,2.0,4.0,6.0,2.0,3.0,0.0,1.0,4.0,14.0,9.8,11.0,8.0,1.0,0.125,1,51,25,54,76,63,41,14,28,66,27,37,65,67,51,28,15.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9807692307692308,1.0,0.7605633802816901,0.9620253164556962,0.9692307692307692,0.9534883720930232,0.9333333333333332,0.9655172413793104,0.9565217391304348,0.9642857142857144,0.9736842105263158,0.9558823529411764,0.9571428571428572,0.9444444444444444,0.9655172413793104,22,21,20,34.0,67.0,59.0,29.0,0.6470588235294118,0.3134328358208955,0.3389830508474576,0.0,19,4.0,63.0,3.3157894736842106,7.399999999999997,59.2,3.115789473684211,0.2049715609858858,W (+6),W (+6)
