Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alec Burks,Shared Games with Bojan Bogdanović,Shared Games with Buddy Boeheim,Shared Games with Cade Cunningham,Shared Games with Cory Joseph,Shared Games with Hamidou Diallo,Shared Games with Isaiah Livers,Shared Games with Isaiah Stewart,Shared Games with Jaden Ivey,Shared Games with Jalen Duren,Shared Games with Jared Rhoden,Shared Games with Kevin Knox,Shared Games with Killian Hayes,Shared Games with Marvin Bagley III,Shared Games with Nerlens Noel,Shared Games with Rodney McGruder,Shared Games with Saddiq Bey,Alec Burks,Bojan Bogdanović,Buddy Boeheim,Cade Cunningham,Cory Joseph,Hamidou Diallo,Isaiah Livers,Isaiah Stewart,Jaden Ivey,Jalen Duren,Jared Rhoden,Kevin Knox,Killian Hayes,Marvin Bagley III,Nerlens Noel,Rodney McGruder,Saddiq Bey,Stanley Umude,co_inf with Alec Burks,co_inf with Bojan Bogdanović,co_inf with Buddy Boeheim,co_inf with Cade Cunningham,co_inf with Cory Joseph,co_inf with Hamidou Diallo,co_inf with Isaiah Livers,co_inf with Isaiah Stewart,co_inf with Jaden Ivey,co_inf with Jalen Duren,co_inf with Jared Rhoden,co_inf with Kevin Knox,co_inf with Killian Hayes,co_inf with Marvin Bagley III,co_inf with Nerlens Noel,co_inf with Rodney McGruder,co_inf with Saddiq Bey,co_inf with Stanley Umude,Eugene Omoruyi,Frank Kaminsky,James Wiseman,R.J. Hampton,co_inf with James Wiseman,co_inf with Eugene Omoruyi,co_inf with Frank Kaminsky,co_inf with R.J. Hampton,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,,2022-11-07,25-266,DET,,OKC,W (+9),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,3,1,2,2,3,2,2,2,2,1,3,3,1,2,3,2,51.0,59.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.0196078431372549,0.0508474576271186,0.1,0.1666666666666666,0.032258064516129,0.0535714285714285,0.0384615384615384,0.04,0.027027027027027,0.0298507462686567,0.0714285714285714,0.0476190476190476,0.0394736842105263,0.0238095238095238,0.1176470588235294,0.09375,0.0259740259740259,0.0,40.0,36.0,45.0,47.0,0.0,0.0,0.0,0.0,17,,59.0,3.4705882352941178,0.0,63.19999999999999,3.7176470588235286
11,12,,2022-11-09,25-268,DET,@,BOS,L (-16),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,3,1,2,2,3,2,2,2,2,1,3,3,1,2,3,2,51.0,59.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.0196078431372549,0.0508474576271186,0.1,0.1666666666666666,0.032258064516129,0.0535714285714285,0.0384615384615384,0.04,0.027027027027027,0.0298507462686567,0.0714285714285714,0.0476190476190476,0.0394736842105263,0.0238095238095238,0.1176470588235294,0.09375,0.0259740259740259,0.0,40.0,36.0,45.0,47.0,0.0,0.0,0.0,0.0,17,,61.0,3.588235294117647,0.0,80.3,4.723529411764706
12,13,,2022-11-11,25-270,DET,@,NYK,L (-9),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,3,1,2,2,3,2,2,2,2,1,3,3,1,2,3,2,51.0,59.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.0196078431372549,0.0508474576271186,0.1,0.1666666666666666,0.032258064516129,0.0535714285714285,0.0384615384615384,0.04,0.027027027027027,0.0298507462686567,0.0714285714285714,0.0476190476190476,0.0394736842105263,0.0238095238095238,0.1176470588235294,0.09375,0.0259740259740259,0.0,40.0,36.0,45.0,47.0,0.0,0.0,0.0,0.0,17,,64.0,3.764705882352941,0.0,80.8,4.752941176470588
13,14,,2022-11-12,25-271,DET,,BOS,L (-9),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,3,1,2,2,3,2,2,2,2,1,3,3,1,2,3,2,51.0,59.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.0196078431372549,0.0508474576271186,0.1,0.1666666666666666,0.032258064516129,0.0535714285714285,0.0384615384615384,0.04,0.027027027027027,0.0298507462686567,0.0714285714285714,0.0476190476190476,0.0394736842105263,0.0238095238095238,0.1176470588235294,0.09375,0.0259740259740259,0.0,40.0,36.0,45.0,47.0,0.0,0.0,0.0,0.0,17,,68.0,4.0,0.0,75.89999999999998,4.4647058823529395
14,15,,2022-11-14,25-273,DET,,TOR,L (-4),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,3,1,2,2,3,2,2,2,2,1,3,3,1,2,3,2,51.0,59.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.0196078431372549,0.0508474576271186,0.1,0.1666666666666666,0.032258064516129,0.0535714285714285,0.0384615384615384,0.04,0.027027027027027,0.0298507462686567,0.0714285714285714,0.0476190476190476,0.0394736842105263,0.0238095238095238,0.1176470588235294,0.09375,0.0259740259740259,0.0,40.0,36.0,45.0,47.0,0.0,0.0,0.0,0.0,17,,41.0,2.411764705882353,0.0,65.2,3.835294117647059
15,16,,2022-11-17,25-276,DET,@,LAC,L (-5),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1,3,1,2,2,3,2,2,2,2,1,3,3,1,2,3,2,51.0,59.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.0196078431372549,0.0508474576271186,0.1,0.1666666666666666,0.032258064516129,0.0535714285714285,0.0384615384615384,0.04,0.027027027027027,0.0298507462686567,0.0714285714285714,0.0476190476190476,0.0394736842105263,0.0238095238095238,0.1176470588235294,0.09375,0.0259740259740259,0.0,40.0,36.0,45.0,47.0,0.0,0.0,0.0,0.0,17,,28.0,1.6470588235294117,0.0,40.0,2.3529411764705883
16,17,,2022-11-18,25-277,DET,@,LAL,L (-7),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1,3,1,2,2,3,2,2,2,2,1,3,3,1,2,3,2,51.0,59.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.0196078431372549,0.0508474576271186,0.1,0.1666666666666666,0.032258064516129,0.0535714285714285,0.0384615384615384,0.04,0.027027027027027,0.0298507462686567,0.0714285714285714,0.0476190476190476,0.0394736842105263,0.0238095238095238,0.1176470588235294,0.09375,0.0259740259740259,0.0,40.0,36.0,45.0,47.0,0.0,0.0,0.0,0.0,17,,60.0,3.5294117647058822,0.0,91.1,5.358823529411764
17,18,,2022-11-20,25-279,DET,@,SAC,L (-8),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1,3,1,2,2,3,2,2,2,2,1,3,3,1,2,3,2,51.0,59.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.0196078431372549,0.0508474576271186,0.1,0.1666666666666666,0.032258064516129,0.0535714285714285,0.0384615384615384,0.04,0.027027027027027,0.0298507462686567,0.0714285714285714,0.0476190476190476,0.0394736842105263,0.0238095238095238,0.1176470588235294,0.09375,0.0259740259740259,0.0,40.0,36.0,45.0,47.0,0.0,0.0,0.0,0.0,17,,61.0,3.588235294117647,0.0,85.39999999999998,5.023529411764705
18,19,,2022-11-22,25-281,DET,@,DEN,W (+2),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1,3,1,2,2,3,2,2,2,2,1,3,3,1,2,3,2,51.0,59.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.0196078431372549,0.0508474576271186,0.1,0.1666666666666666,0.032258064516129,0.0535714285714285,0.0384615384615384,0.04,0.027027027027027,0.0298507462686567,0.0714285714285714,0.0476190476190476,0.0394736842105263,0.0238095238095238,0.1176470588235294,0.09375,0.0259740259740259,0.0,40.0,36.0,45.0,47.0,0.0,0.0,0.0,0.0,17,,61.0,3.588235294117647,0.0,73.30000000000001,4.311764705882354
19,20,,2022-11-23,25-282,DET,@,UTA,W (+9),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1,3,1,2,2,3,2,2,2,2,1,3,3,1,2,3,2,51.0,59.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.0196078431372549,0.0508474576271186,0.1,0.1666666666666666,0.032258064516129,0.0535714285714285,0.0384615384615384,0.04,0.027027027027027,0.0298507462686567,0.0714285714285714,0.0476190476190476,0.0394736842105263,0.0238095238095238,0.1176470588235294,0.09375,0.0259740259740259,0.0,40.0,36.0,45.0,47.0,0.0,0.0,0.0,0.0,17,,74.0,4.352941176470588,0.0,92.99999999999996,5.470588235294115
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,1,3,1,2,2,3,2,2,2,2,1,3,3,1,2,3,2,51.0,59.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.0196078431372549,0.0508474576271186,0.1,0.1666666666666666,0.032258064516129,0.0535714285714285,0.0384615384615384,0.04,0.027027027027027,0.0298507462686567,0.0714285714285714,0.0476190476190476,0.0394736842105263,0.0238095238095238,0.1176470588235294,0.09375,0.0259740259740259,0.0,40.0,36.0,45.0,47.0,0.0,0.0,0.0,0.0,17,,0.0,0.0,0.0,0.0,0.0
21,21,3,2022-11-25,25-284,DET,@,PHO,L (-6),0,2:12,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3,0.0,0.0,,1,3,1,2,2,3,2,2,2,2,1,3,3,1,2,3,2,51.0,59.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.0196078431372549,0.0508474576271186,0.1,0.1666666666666666,0.032258064516129,0.0535714285714285,0.0384615384615384,0.04,0.027027027027027,0.0298507462686567,0.0714285714285714,0.0476190476190476,0.0394736842105263,0.0238095238095238,0.1176470588235294,0.09375,0.0259740259740259,0.0,40.0,36.0,45.0,47.0,0.0,0.0,0.0,0.0,17,0.0,47.0,2.764705882352941,0.0,57.79999999999999,3.3999999999999995
22,22,,2022-11-27,25-286,DET,,CLE,L (-8),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1,3,1,2,2,3,2,2,2,2,1,3,3,1,2,3,2,51.0,59.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.0196078431372549,0.0508474576271186,0.1,0.1666666666666666,0.032258064516129,0.0535714285714285,0.0384615384615384,0.04,0.027027027027027,0.0298507462686567,0.0714285714285714,0.0476190476190476,0.0394736842105263,0.0238095238095238,0.1176470588235294,0.09375,0.0259740259740259,0.0,40.0,36.0,45.0,47.0,0.0,0.0,0.0,0.0,17,,39.0,2.294117647058824,0.0,49.90000000000001,2.9352941176470595
23,23,,2022-11-29,25-288,DET,,NYK,L (-30),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,3,1,2,2,3,2,2,2,2,1,3,3,1,2,3,2,51.0,59.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.0196078431372549,0.0508474576271186,0.1,0.1666666666666666,0.032258064516129,0.0535714285714285,0.0384615384615384,0.04,0.027027027027027,0.0298507462686567,0.0714285714285714,0.0476190476190476,0.0394736842105263,0.0238095238095238,0.1176470588235294,0.09375,0.0259740259740259,0.0,40.0,36.0,45.0,47.0,0.0,0.0,0.0,0.0,17,,58.0,3.411764705882353,0.0,70.6,4.152941176470588
24,24,,2022-12-01,25-290,DET,,DAL,W (+6),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,3,1,2,2,3,2,2,2,2,1,3,3,1,2,3,2,51.0,59.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.0196078431372549,0.0508474576271186,0.1,0.1666666666666666,0.032258064516129,0.0535714285714285,0.0384615384615384,0.04,0.027027027027027,0.0298507462686567,0.0714285714285714,0.0476190476190476,0.0394736842105263,0.0238095238095238,0.1176470588235294,0.09375,0.0259740259740259,0.0,40.0,36.0,45.0,47.0,0.0,0.0,0.0,0.0,17,,86.0,5.0588235294117645,0.0,100.40000000000002,5.905882352941178
25,25,,2022-12-04,25-293,DET,,MEM,L (-10),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,3,1,2,2,3,2,2,2,2,1,3,3,1,2,3,2,51.0,59.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.0196078431372549,0.0508474576271186,0.1,0.1666666666666666,0.032258064516129,0.0535714285714285,0.0384615384615384,0.04,0.027027027027027,0.0298507462686567,0.0714285714285714,0.0476190476190476,0.0394736842105263,0.0238095238095238,0.1176470588235294,0.09375,0.0259740259740259,0.0,40.0,36.0,45.0,47.0,0.0,0.0,0.0,0.0,17,,64.0,3.764705882352941,0.0,70.1,4.123529411764705
26,26,,2022-12-06,25-295,DET,@,MIA,W (+20),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,3,1,2,2,3,2,2,2,2,1,3,3,1,2,3,2,51.0,59.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.0196078431372549,0.0508474576271186,0.1,0.1666666666666666,0.032258064516129,0.0535714285714285,0.0384615384615384,0.04,0.027027027027027,0.0298507462686567,0.0714285714285714,0.0476190476190476,0.0394736842105263,0.0238095238095238,0.1176470588235294,0.09375,0.0259740259740259,0.0,40.0,36.0,45.0,47.0,0.0,0.0,0.0,0.0,17,,70.0,4.117647058823529,0.0,79.2,4.658823529411765
