Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alex Caruso,Shared Games with Andre Drummond,Shared Games with Ayo Dosunmu,Shared Games with Carlik Jones,Shared Games with Coby White,Shared Games with Dalen Terry,Shared Games with DeMar DeRozan,Shared Games with Derrick Jones Jr.,Shared Games with Goran Dragić,Shared Games with Javonte Green,Shared Games with Malcolm Hill,Shared Games with Marko Simonovic,Shared Games with Nikola Vučević,Shared Games with Patrick Williams,Shared Games with Tony Bradley,Alex Caruso,Andre Drummond,Ayo Dosunmu,Carlik Jones,Coby White,Dalen Terry,DeMar DeRozan,Derrick Jones Jr.,Goran Dragić,Javonte Green,Kostas Antetokounmpo,Lonzo Ball,Malcolm Hill,Marko Simonovic,Nikola Vučević,Patrick Williams,Tony Bradley,co_inf with Alex Caruso,co_inf with Andre Drummond,co_inf with Ayo Dosunmu,co_inf with Carlik Jones,co_inf with Coby White,co_inf with Dalen Terry,co_inf with DeMar DeRozan,co_inf with Derrick Jones Jr.,co_inf with Goran Dragić,co_inf with Javonte Green,co_inf with Kostas Antetokounmpo,co_inf with Lonzo Ball,co_inf with Malcolm Hill,co_inf with Marko Simonovic,co_inf with Nikola Vučević,co_inf with Patrick Williams,co_inf with Tony Bradley,Shared Games with Terry Taylor,Shared Games with Patrick Beverley,Clint Capela,Patrick Beverley,Robert Williams,Terry Taylor,co_inf with Terry Taylor,co_inf with Clint Capela,co_inf with Patrick Beverley,co_inf with Robert Williams,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11.0,,2022-11-06,27-241,CHI,TOR,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,62,64,75,7,70,36,70,61,47,27,5,7,77,77,12,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,0.9253731343283582,0.9552238805970148,0.9375,1.0,0.945945945945946,0.9473684210526316,0.945945945945946,0.953125,0.8103448275862069,0.84375,,,1.0,1.0,0.9390243902439024,0.9390243902439024,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,,90.0,5.294117647058823,0.0,88.99999999999999,5.235294117647058,19.0,7.1,1.9,2.7,-0.7,0.2062311341095299,0.607,0.392,0.308,2.7,4.2,L (-9),L (-9)
12.0,8.0,2022-11-07,27-242,CHI,TOR,1.0,32.2,11.0,20.0,0.55,4.0,8.0,0.5,4.0,5.0,0.8,1.0,2.0,3.0,5.0,2.0,0.0,5.0,5.0,30.0,19.8,4.0,12.0,7.0,0.5833333333333334,62,64,75,7,70,36,70,61,47,27,5,7,77,77,12,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,0.9253731343283582,0.9552238805970148,0.9375,1.0,0.945945945945946,0.9473684210526316,0.945945945945946,0.953125,0.8103448275862069,0.84375,,,1.0,1.0,0.9390243902439024,0.9390243902439024,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,10.0,92.0,5.411764705882353,18.200000000000003,82.6,4.858823529411764,19.0,7.1,1.9,2.7,-0.7,0.2062311341095299,0.607,0.392,0.308,2.7,4.2,W (+14),W (+14)
13.0,9.0,2022-11-09,27-244,CHI,NOP,1.0,36.41666666666666,9.0,22.0,0.409,3.0,12.0,0.25,2.0,2.0,1.0,1.0,3.0,4.0,4.0,2.0,0.0,1.0,4.0,23.0,15.0,1.0,10.0,6.0,0.6,62,64,75,7,70,36,70,61,47,27,5,7,77,77,12,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,0.9253731343283582,0.9552238805970148,0.9375,1.0,0.945945945945946,0.9473684210526316,0.945945945945946,0.953125,0.8103448275862069,0.84375,,,1.0,1.0,0.9390243902439024,0.9390243902439024,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,8.0,67.0,3.941176470588236,14.2,62.09999999999999,3.652941176470588,19.0,7.1,1.9,2.7,-0.7,0.2062311341095299,0.607,0.392,0.308,2.7,4.2,L (-4),L (-4)
14.0,10.0,2022-11-13,27-248,CHI,DEN,1.0,34.06666666666667,8.0,15.0,0.533,1.0,6.0,0.167,4.0,5.0,0.8,1.0,4.0,5.0,4.0,1.0,0.0,3.0,3.0,21.0,14.8,-18.0,9.0,7.0,0.7777777777777778,62,64,75,7,70,36,70,61,47,27,5,7,77,77,12,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,0.9253731343283582,0.9552238805970148,0.9375,1.0,0.945945945945946,0.9473684210526316,0.945945945945946,0.953125,0.8103448275862069,0.84375,,,1.0,1.0,0.9390243902439024,0.9390243902439024,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,8.0,61.0,3.588235294117647,13.2,56.99999999999999,3.352941176470588,19.0,7.1,1.9,2.7,-0.7,0.2062311341095299,0.607,0.392,0.308,2.7,4.2,L (-23),L (-23)
15.0,11.0,2022-11-16,27-251,CHI,NOP,1.0,36.11666666666667,9.0,22.0,0.409,4.0,11.0,0.364,3.0,4.0,0.75,0.0,3.0,3.0,5.0,0.0,0.0,3.0,2.0,25.0,13.4,-7.0,11.0,5.0,0.4545454545454545,62,64,75,7,70,36,70,61,47,27,5,7,77,77,12,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,0.9253731343283582,0.9552238805970148,0.9375,1.0,0.945945945945946,0.9473684210526316,0.945945945945946,0.953125,0.8103448275862069,0.84375,,,1.0,1.0,0.9390243902439024,0.9390243902439024,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,4.0,63.0,3.7058823529411766,12.2,63.49999999999999,3.7352941176470575,19.0,7.1,1.9,2.7,-0.7,0.2062311341095299,0.607,0.392,0.308,2.7,4.2,L (-14),L (-14)
16.0,12.0,2022-11-18,27-253,CHI,ORL,1.0,25.216666666666665,1.0,14.0,0.071,0.0,5.0,0.0,2.0,2.0,1.0,1.0,4.0,5.0,2.0,0.0,0.0,1.0,0.0,4.0,-3.1,-19.0,9.0,1.0,0.1111111111111111,62,64,75,7,70,36,70,61,47,27,5,7,77,77,12,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,0.9253731343283582,0.9552238805970148,0.9375,1.0,0.945945945945946,0.9473684210526316,0.945945945945946,0.953125,0.8103448275862069,0.84375,,,1.0,1.0,0.9390243902439024,0.9390243902439024,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,-6.0,104.0,6.117647058823529,-3.8999999999999977,100.6,5.917647058823529,19.0,7.1,1.9,2.7,-0.7,0.2062311341095299,0.607,0.392,0.308,2.7,4.2,L (-1),L (-1)
17.0,13.0,2022-11-21,27-256,CHI,BOS,1.0,33.71666666666667,8.0,20.0,0.4,5.0,10.0,0.5,1.0,2.0,0.5,2.0,3.0,5.0,5.0,2.0,0.0,3.0,5.0,22.0,13.6,14.0,10.0,3.0,0.3,62,64,75,7,70,36,70,61,47,27,5,7,77,77,12,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,0.9253731343283582,0.9552238805970148,0.9375,1.0,0.945945945945946,0.9473684210526316,0.945945945945946,0.953125,0.8103448275862069,0.84375,,,1.0,1.0,0.9390243902439024,0.9390243902439024,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,9.0,98.0,5.764705882352941,13.2,88.1,5.18235294117647,19.0,7.1,1.9,2.7,-0.7,0.2062311341095299,0.607,0.392,0.308,2.7,4.2,W (+14),W (+14)
18.0,14.0,2022-11-23,27-258,CHI,MIL,1.0,33.93333333333333,6.0,17.0,0.353,3.0,11.0,0.273,3.0,4.0,0.75,1.0,4.0,5.0,5.0,1.0,0.0,1.0,4.0,18.0,11.9,-13.0,6.0,3.0,0.5,62,64,75,7,70,36,70,61,47,27,5,7,77,77,12,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,0.9253731343283582,0.9552238805970148,0.9375,1.0,0.945945945945946,0.9473684210526316,0.945945945945946,0.953125,0.8103448275862069,0.84375,,,1.0,1.0,0.9390243902439024,0.9390243902439024,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,7.0,98.0,5.764705882352941,10.7,97.0,5.705882352941177,19.0,7.1,1.9,2.7,-0.7,0.2062311341095299,0.607,0.392,0.308,2.7,4.2,W (+5),W (+5)
19.0,15.0,2022-11-25,27-260,CHI,OKC,1.0,45.05,9.0,23.0,0.391,4.0,11.0,0.364,5.0,6.0,0.833,2.0,3.0,5.0,5.0,1.0,0.0,4.0,4.0,27.0,15.3,-4.0,12.0,5.0,0.4166666666666667,62,64,75,7,70,36,70,61,47,27,5,7,77,77,12,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,0.9253731343283582,0.9552238805970148,0.9375,1.0,0.945945945945946,0.9473684210526316,0.945945945945946,0.953125,0.8103448275862069,0.84375,,,1.0,1.0,0.9390243902439024,0.9390243902439024,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,5.0,62.0,3.647058823529412,13.299999999999995,65.0,3.823529411764706,19.0,7.1,1.9,2.7,-0.7,0.2062311341095299,0.607,0.392,0.308,2.7,4.2,L (-4),L (-4)
20.0,16.0,2022-11-28,27-263,CHI,UTA,1.0,34.11666666666667,7.0,20.0,0.35,1.0,6.0,0.167,5.0,6.0,0.833,0.0,6.0,6.0,5.0,1.0,0.0,1.0,1.0,20.0,13.3,11.0,14.0,6.0,0.4285714285714285,62,64,75,7,70,36,70,61,47,27,5,7,77,77,12,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,0.9253731343283582,0.9552238805970148,0.9375,1.0,0.945945945945946,0.9473684210526316,0.945945945945946,0.953125,0.8103448275862069,0.84375,,,1.0,1.0,0.9390243902439024,0.9390243902439024,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,5.0,64.0,3.764705882352941,11.3,61.39999999999999,3.611764705882353,19.0,7.1,1.9,2.7,-0.7,0.2062311341095299,0.607,0.392,0.308,2.7,4.2,W (+7),W (+7)
21.0,17.0,2022-11-30,27-265,CHI,PHO,1.0,34.25,7.0,15.0,0.467,1.0,6.0,0.167,6.0,7.0,0.857,1.0,3.0,4.0,7.0,0.0,0.0,1.0,0.0,21.0,18.4,-17.0,9.0,6.0,0.6666666666666666,62,64,75,7,70,36,70,61,47,27,5,7,77,77,12,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,0.9253731343283582,0.9552238805970148,0.9375,1.0,0.945945945945946,0.9473684210526316,0.945945945945946,0.953125,0.8103448275862069,0.84375,,,1.0,1.0,0.9390243902439024,0.9390243902439024,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,9.0,67.0,3.941176470588236,15.999999999999996,64.49999999999999,3.794117647058824,19.0,7.1,1.9,2.7,-0.7,0.2062311341095299,0.607,0.392,0.308,2.7,4.2,,
22.0,18.0,2022-12-02,27-267,CHI,GSW,1.0,35.833333333333336,8.0,18.0,0.444,3.0,7.0,0.429,2.0,3.0,0.667,1.0,6.0,7.0,3.0,2.0,0.0,3.0,5.0,21.0,12.8,-5.0,11.0,5.0,0.4545454545454545,62,64,75,7,70,36,70,61,47,27,5,7,77,77,12,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,0.9253731343283582,0.9552238805970148,0.9375,1.0,0.945945945945946,0.9473684210526316,0.945945945945946,0.953125,0.8103448275862069,0.84375,,,1.0,1.0,0.9390243902439024,0.9390243902439024,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,9.0,64.0,3.764705882352941,11.999999999999996,70.9,4.170588235294118,19.0,7.1,1.9,2.7,-0.7,0.2062311341095299,0.607,0.392,0.308,2.7,4.2,L (-19),L (-19)
23.0,19.0,2022-12-04,27-269,CHI,SAC,1.0,35.86666666666667,16.0,28.0,0.571,3.0,9.0,0.333,6.0,7.0,0.857,2.0,6.0,8.0,2.0,4.0,0.0,2.0,1.0,41.0,33.6,1.0,19.0,13.0,0.6842105263157895,62,64,75,7,70,36,70,61,47,27,5,7,77,77,12,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,0.9253731343283582,0.9552238805970148,0.9375,1.0,0.945945945945946,0.9473684210526316,0.945945945945946,0.953125,0.8103448275862069,0.84375,,,1.0,1.0,0.9390243902439024,0.9390243902439024,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,18.0,44.0,2.588235294117647,31.2,47.09999999999999,2.7705882352941167,19.0,7.1,1.9,2.7,-0.7,0.2062311341095299,0.607,0.392,0.308,2.7,4.2,L (-8),L (-8)
24.0,20.0,2022-12-07,27-272,CHI,WAS,1.0,34.25,8.0,19.0,0.421,5.0,9.0,0.556,4.0,4.0,1.0,0.0,7.0,7.0,5.0,2.0,0.0,6.0,1.0,25.0,16.1,14.0,10.0,3.0,0.3,62,64,75,7,70,36,70,61,47,27,5,7,77,77,12,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,0.9253731343283582,0.9552238805970148,0.9375,1.0,0.945945945945946,0.9473684210526316,0.945945945945946,0.953125,0.8103448275862069,0.84375,,,1.0,1.0,0.9390243902439024,0.9390243902439024,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,10.0,82.0,4.823529411764706,14.5,82.30000000000001,4.841176470588236,19.0,7.1,1.9,2.7,-0.7,0.2062311341095299,0.607,0.392,0.308,2.7,4.2,L (-9),L (-9)
25.0,21.0,2022-12-10,27-275,CHI,DAL,1.0,26.53333333333333,7.0,11.0,0.636,2.0,5.0,0.4,0.0,0.0,,0.0,3.0,3.0,3.0,2.0,0.0,2.0,0.0,16.0,14.1,8.0,6.0,5.0,0.8333333333333334,62,64,75,7,70,36,70,61,47,27,5,7,77,77,12,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,0.9253731343283582,0.9552238805970148,0.9375,1.0,0.945945945945946,0.9473684210526316,0.945945945945946,0.953125,0.8103448275862069,0.84375,,,1.0,1.0,0.9390243902439024,0.9390243902439024,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,11.0,127.0,7.470588235294118,14.099999999999998,123.0,7.235294117647059,19.0,7.1,1.9,2.7,-0.7,0.2062311341095299,0.607,0.392,0.308,2.7,4.2,W (+4),W (+4)
26.0,22.0,2022-12-11,27-276,CHI,ATL,1.0,39.25,9.0,16.0,0.563,1.0,5.0,0.2,2.0,3.0,0.667,0.0,3.0,3.0,3.0,0.0,0.0,7.0,4.0,21.0,7.4,-8.0,11.0,8.0,0.7272727272727273,62,64,75,7,70,36,70,61,47,27,5,7,77,77,12,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,0.9253731343283582,0.9552238805970148,0.9375,1.0,0.945945945945946,0.9473684210526316,0.945945945945946,0.953125,0.8103448275862069,0.84375,,,1.0,1.0,0.9390243902439024,0.9390243902439024,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,1.0,98.0,5.764705882352941,6.600000000000003,88.29999999999998,5.194117647058823,19.0,7.1,1.9,2.7,-0.7,0.2062311341095299,0.607,0.392,0.308,2.7,4.2,W (+29),W (+29)
