Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anthony Davis,Shared Games with Austin Reaves,Shared Games with Cole Swider,Shared Games with Damian Jones,Shared Games with Dennis Schröder,Shared Games with Juan Toscano-Anderson,Shared Games with Kendrick Nunn,Shared Games with LeBron James,Shared Games with Lonnie Walker IV,Shared Games with Matt Ryan,Shared Games with Max Christie,Shared Games with Patrick Beverley,Shared Games with Russell Westbrook,Shared Games with Thomas Bryant,Shared Games with Troy Brown Jr.,Shared Games with Wenyen Gabriel,Anthony Davis,Austin Reaves,Cole Swider,Damian Jones,Dennis Schröder,Juan Toscano-Anderson,Kendrick Nunn,LeBron James,Lonnie Walker IV,Matt Ryan,Max Christie,Patrick Beverley,Russell Westbrook,Sterling Brown,Thomas Bryant,Tristan Thompson,Troy Brown Jr.,Wenyen Gabriel,co_inf with Anthony Davis,co_inf with Austin Reaves,co_inf with Cole Swider,co_inf with Damian Jones,co_inf with Dennis Schröder,co_inf with Juan Toscano-Anderson,co_inf with Kendrick Nunn,co_inf with LeBron James,co_inf with Lonnie Walker IV,co_inf with Matt Ryan,co_inf with Max Christie,co_inf with Patrick Beverley,co_inf with Russell Westbrook,co_inf with Sterling Brown,co_inf with Thomas Bryant,co_inf with Tristan Thompson,co_inf with Troy Brown Jr.,co_inf with Wenyen Gabriel,D'Angelo Russell,Davon Reed,Jarred Vanderbilt,Malik Beasley,Mo Bamba,Onyeka Okongwu,Shaquille Harrison,co_inf with Davon Reed,co_inf with D'Angelo Russell,co_inf with Jarred Vanderbilt,co_inf with Malik Beasley,co_inf with Mo Bamba,co_inf with Onyeka Okongwu,co_inf with Shaquille Harrison,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,,2022-11-09,21-364,LAL,@,LAC,L (-13),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,2,2,4,4,4,5,5,3,2,2,6,5,5,4,3,6,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,4.0,59.0,,76.0,68.0,0.0357142857142857,0.03125,0.5714285714285714,0.0975609756097561,0.0606060606060606,0.0961538461538461,0.0714285714285714,0.0545454545454545,0.0357142857142857,0.0588235294117647,0.1463414634146341,0.0746268656716417,0.0684931506849315,0.0,0.0677966101694915,,0.0394736842105263,0.088235294117647,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,,81.0,5.0625,0.0,55.69999999999999,3.4812499999999993
11,12,,2022-11-11,22-001,LAL,,SAC,L (-6),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,2,2,4,4,4,5,5,3,2,2,6,5,5,4,3,6,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,4.0,59.0,,76.0,68.0,0.0357142857142857,0.03125,0.5714285714285714,0.0975609756097561,0.0606060606060606,0.0961538461538461,0.0714285714285714,0.0545454545454545,0.0357142857142857,0.0588235294117647,0.1463414634146341,0.0746268656716417,0.0684931506849315,0.0,0.0677966101694915,,0.0394736842105263,0.088235294117647,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,,84.0,5.25,0.0,58.69999999999999,3.6687499999999993
12,13,,2022-11-13,22-003,LAL,,BRK,W (+13),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,2,2,4,4,4,5,5,3,2,2,6,5,5,4,3,6,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,4.0,59.0,,76.0,68.0,0.0357142857142857,0.03125,0.5714285714285714,0.0975609756097561,0.0606060606060606,0.0961538461538461,0.0714285714285714,0.0545454545454545,0.0357142857142857,0.0588235294117647,0.1463414634146341,0.0746268656716417,0.0684931506849315,0.0,0.0677966101694915,,0.0394736842105263,0.088235294117647,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,,90.0,5.625,0.0,72.1,4.50625
13,14,,2022-11-18,22-008,LAL,,DET,W (+7),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,2,2,4,4,4,5,5,3,2,2,6,5,5,4,3,6,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,4.0,59.0,,76.0,68.0,0.0357142857142857,0.03125,0.5714285714285714,0.0975609756097561,0.0606060606060606,0.0961538461538461,0.0714285714285714,0.0545454545454545,0.0357142857142857,0.0588235294117647,0.1463414634146341,0.0746268656716417,0.0684931506849315,0.0,0.0677966101694915,,0.0394736842105263,0.088235294117647,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,,123.0,7.6875,0.0,79.1,4.94375
14,15,,2022-11-20,22-010,LAL,,SAS,W (+31),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,2,2,4,4,4,5,5,3,2,2,6,5,5,4,3,6,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,4.0,59.0,,76.0,68.0,0.0357142857142857,0.03125,0.5714285714285714,0.0975609756097561,0.0606060606060606,0.0961538461538461,0.0714285714285714,0.0545454545454545,0.0357142857142857,0.0588235294117647,0.1463414634146341,0.0746268656716417,0.0684931506849315,0.0,0.0677966101694915,,0.0394736842105263,0.088235294117647,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,,113.0,7.0625,0.0,72.7,4.54375
15,16,,2022-11-22,22-012,LAL,@,PHO,L (-10),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,2,2,4,4,4,5,5,3,2,2,6,5,5,4,3,6,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,4.0,59.0,,76.0,68.0,0.0357142857142857,0.03125,0.5714285714285714,0.0975609756097561,0.0606060606060606,0.0961538461538461,0.0714285714285714,0.0545454545454545,0.0357142857142857,0.0588235294117647,0.1463414634146341,0.0746268656716417,0.0684931506849315,0.0,0.0677966101694915,,0.0394736842105263,0.088235294117647,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,,75.0,4.6875,0.0,48.3,3.01875
16,17,,2022-11-25,22-015,LAL,@,SAS,W (+11),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,2,2,4,4,4,5,5,3,2,2,6,5,5,4,3,6,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,4.0,59.0,,76.0,68.0,0.0357142857142857,0.03125,0.5714285714285714,0.0975609756097561,0.0606060606060606,0.0961538461538461,0.0714285714285714,0.0545454545454545,0.0357142857142857,0.0588235294117647,0.1463414634146341,0.0746268656716417,0.0684931506849315,0.0,0.0677966101694915,,0.0394736842105263,0.088235294117647,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,,129.0,8.0625,0.0,78.59999999999998,4.912499999999999
17,18,,2022-11-26,22-016,LAL,@,SAS,W (+5),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,2,2,4,4,4,5,5,3,2,2,6,5,5,4,3,6,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,4.0,59.0,,76.0,68.0,0.0357142857142857,0.03125,0.5714285714285714,0.0975609756097561,0.0606060606060606,0.0961538461538461,0.0714285714285714,0.0545454545454545,0.0357142857142857,0.0588235294117647,0.1463414634146341,0.0746268656716417,0.0684931506849315,0.0,0.0677966101694915,,0.0394736842105263,0.088235294117647,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,,125.0,7.8125,0.0,93.2,5.825
18,19,,2022-11-28,22-018,LAL,,IND,L (-1),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,2,2,4,4,4,5,5,3,2,2,6,5,5,4,3,6,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,4.0,59.0,,76.0,68.0,0.0357142857142857,0.03125,0.5714285714285714,0.0975609756097561,0.0606060606060606,0.0961538461538461,0.0714285714285714,0.0545454545454545,0.0357142857142857,0.0588235294117647,0.1463414634146341,0.0746268656716417,0.0684931506849315,0.0,0.0677966101694915,,0.0394736842105263,0.088235294117647,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,,106.0,6.625,0.0,63.40000000000001,3.962500000000001
19,20,,2022-11-30,22-020,LAL,,POR,W (+19),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,2,2,4,4,4,5,5,3,2,2,6,5,5,4,3,6,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,4.0,59.0,,76.0,68.0,0.0357142857142857,0.03125,0.5714285714285714,0.0975609756097561,0.0606060606060606,0.0961538461538461,0.0714285714285714,0.0545454545454545,0.0357142857142857,0.0588235294117647,0.1463414634146341,0.0746268656716417,0.0684931506849315,0.0,0.0677966101694915,,0.0394736842105263,0.088235294117647,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,,113.0,7.0625,0.0,81.2,5.075
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,2,2,4,4,4,5,5,3,2,2,6,5,5,4,3,6,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,4.0,59.0,,76.0,68.0,0.0357142857142857,0.03125,0.5714285714285714,0.0975609756097561,0.0606060606060606,0.0961538461538461,0.0714285714285714,0.0545454545454545,0.0357142857142857,0.0588235294117647,0.1463414634146341,0.0746268656716417,0.0684931506849315,0.0,0.0677966101694915,,0.0394736842105263,0.088235294117647,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,,0.0,0.0,0.0,0.0,0.0
21,21,,2022-12-02,22-022,LAL,@,MIL,W (+4),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,2,2,4,4,4,5,5,3,2,2,6,5,5,4,3,6,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,4.0,59.0,,76.0,68.0,0.0357142857142857,0.03125,0.5714285714285714,0.0975609756097561,0.0606060606060606,0.0961538461538461,0.0714285714285714,0.0545454545454545,0.0357142857142857,0.0588235294117647,0.1463414634146341,0.0746268656716417,0.0684931506849315,0.0,0.0677966101694915,,0.0394736842105263,0.088235294117647,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,,102.0,6.375,0.0,91.9,5.74375
22,22,,2022-12-04,22-024,LAL,@,WAS,W (+11),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,2,2,4,4,4,5,5,3,2,2,6,5,5,4,3,6,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,4.0,59.0,,76.0,68.0,0.0357142857142857,0.03125,0.5714285714285714,0.0975609756097561,0.0606060606060606,0.0961538461538461,0.0714285714285714,0.0545454545454545,0.0357142857142857,0.0588235294117647,0.1463414634146341,0.0746268656716417,0.0684931506849315,0.0,0.0677966101694915,,0.0394736842105263,0.088235294117647,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,,117.0,7.3125,0.0,95.09999999999998,5.943749999999999
23,23,,2022-12-06,22-026,LAL,@,CLE,L (-14),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,2,2,4,4,4,5,5,3,2,2,6,5,5,4,3,6,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,4.0,59.0,,76.0,68.0,0.0357142857142857,0.03125,0.5714285714285714,0.0975609756097561,0.0606060606060606,0.0961538461538461,0.0714285714285714,0.0545454545454545,0.0357142857142857,0.0588235294117647,0.1463414634146341,0.0746268656716417,0.0684931506849315,0.0,0.0677966101694915,,0.0394736842105263,0.088235294117647,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,,63.0,3.9375,0.0,31.6,1.975
24,24,,2022-12-07,22-027,LAL,@,TOR,L (-13),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,2,2,4,4,4,5,5,3,2,2,6,5,5,4,3,6,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,4.0,59.0,,76.0,68.0,0.0357142857142857,0.03125,0.5714285714285714,0.0975609756097561,0.0606060606060606,0.0961538461538461,0.0714285714285714,0.0545454545454545,0.0357142857142857,0.0588235294117647,0.1463414634146341,0.0746268656716417,0.0684931506849315,0.0,0.0677966101694915,,0.0394736842105263,0.088235294117647,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,,45.0,2.8125,0.0,31.200000000000003,1.9500000000000002
25,25,,2022-12-09,22-029,LAL,@,PHI,L (-11),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,2,2,4,4,4,5,5,3,2,2,6,5,5,4,3,6,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,4.0,59.0,,76.0,68.0,0.0357142857142857,0.03125,0.5714285714285714,0.0975609756097561,0.0606060606060606,0.0961538461538461,0.0714285714285714,0.0545454545454545,0.0357142857142857,0.0588235294117647,0.1463414634146341,0.0746268656716417,0.0684931506849315,0.0,0.0677966101694915,,0.0394736842105263,0.088235294117647,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,,70.0,4.375,0.0,61.5,3.84375
