Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anfernee Simons,Shared Games with Damian Lillard,Shared Games with Drew Eubanks,Shared Games with Gary Payton II,Shared Games with Jabari Walker,Shared Games with Jerami Grant,Shared Games with Josh Hart,Shared Games with Justise Winslow,Shared Games with Jusuf Nurkić,Shared Games with Keon Johnson,Shared Games with Nassir Little,Shared Games with Shaedon Sharpe,Shared Games with Trendon Watford,Anfernee Simons,Chance Comanche,Damian Lillard,Drew Eubanks,Gary Payton II,Greg Brown III,Jabari Walker,Jeenathan Williams,Jerami Grant,Josh Hart,Justin Minaya,Justise Winslow,Jusuf Nurkić,Keon Johnson,Nassir Little,Olivier Sarr,Shaedon Sharpe,Shaquille Harrison,Skylar Mays,Trendon Watford,co_inf with Anfernee Simons,co_inf with Chance Comanche,co_inf with Damian Lillard,co_inf with Drew Eubanks,co_inf with Gary Payton II,co_inf with Greg Brown III,co_inf with Jabari Walker,co_inf with Jeenathan Williams,co_inf with Jerami Grant,co_inf with Josh Hart,co_inf with Justin Minaya,co_inf with Justise Winslow,co_inf with Jusuf Nurkić,co_inf with Keon Johnson,co_inf with Nassir Little,co_inf with Olivier Sarr,co_inf with Shaedon Sharpe,co_inf with Shaquille Harrison,co_inf with Skylar Mays,co_inf with Trendon Watford,Shared Games with Kevin Knox,Shared Games with Cam Reddish,Shared Games with Matisse Thybulle,Shared Games with Ryan Arcidiacono,Cam Reddish,Jayson Tatum,Kevin Knox,Matisse Thybulle,Ryan Arcidiacono,co_inf with Kevin Knox,co_inf with Cam Reddish,co_inf with Jayson Tatum,co_inf with Matisse Thybulle,co_inf with Ryan Arcidiacono,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11.0,,2022-11-10,19-341,POR,NOP,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,9,8,18,3,12,8,7,4,8,5,14,18,14,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.1451612903225806,0.0,0.1379310344827586,0.2307692307692307,0.1363636363636363,0.0,0.2142857142857142,0.0,0.1269841269841269,0.0921052631578947,0.0,0.1379310344827586,0.1538461538461538,0.125,0.2592592592592592,0.0,0.225,0.0,0.0,0.2258064516129032,10,6,7,5,40.0,74.0,63.0,71.0,20.0,0.1587301587301587,0.15,0.0,0.0985915492957746,0.25,17,,73.0,4.294117647058823,0.0,72.8,4.282352941176471,5.7,0.0,-6.2,-5.4,-0.8,0.0048392300247338,0.411,0.66,0.075,-0.2,-0.1,W (+11),W (+11)
12.0,,2022-11-12,19-343,POR,DAL,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,9,8,18,3,12,8,7,4,8,5,14,18,14,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.1451612903225806,0.0,0.1379310344827586,0.2307692307692307,0.1363636363636363,0.0,0.2142857142857142,0.0,0.1269841269841269,0.0921052631578947,0.0,0.1379310344827586,0.1538461538461538,0.125,0.2592592592592592,0.0,0.225,0.0,0.0,0.2258064516129032,10,6,7,5,40.0,74.0,63.0,71.0,20.0,0.1587301587301587,0.15,0.0,0.0985915492957746,0.25,17,,69.0,4.0588235294117645,0.0,66.89999999999999,3.935294117647058,5.7,0.0,-6.2,-5.4,-0.8,0.0048392300247338,0.411,0.66,0.075,-0.2,-0.1,L (-5),L (-5)
13.0,,2022-11-15,19-346,POR,SAS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,9,8,18,3,12,8,7,4,8,5,14,18,14,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.1451612903225806,0.0,0.1379310344827586,0.2307692307692307,0.1363636363636363,0.0,0.2142857142857142,0.0,0.1269841269841269,0.0921052631578947,0.0,0.1379310344827586,0.1538461538461538,0.125,0.2592592592592592,0.0,0.225,0.0,0.0,0.2258064516129032,10,6,7,5,40.0,74.0,63.0,71.0,20.0,0.1587301587301587,0.15,0.0,0.0985915492957746,0.25,17,,90.0,5.294117647058823,0.0,100.5,5.911764705882353,5.7,0.0,-6.2,-5.4,-0.8,0.0048392300247338,0.411,0.66,0.075,-0.2,-0.1,W (+7),W (+7)
14.0,,2022-11-17,19-348,POR,BRK,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,9,8,18,3,12,8,7,4,8,5,14,18,14,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.1451612903225806,0.0,0.1379310344827586,0.2307692307692307,0.1363636363636363,0.0,0.2142857142857142,0.0,0.1269841269841269,0.0921052631578947,0.0,0.1379310344827586,0.1538461538461538,0.125,0.2592592592592592,0.0,0.225,0.0,0.0,0.2258064516129032,10,6,7,5,40.0,74.0,63.0,71.0,20.0,0.1587301587301587,0.15,0.0,0.0985915492957746,0.25,17,,81.0,4.764705882352941,0.0,95.4,5.611764705882353,5.7,0.0,-6.2,-5.4,-0.8,0.0048392300247338,0.411,0.66,0.075,-0.2,-0.1,L (-2),L (-2)
15.0,,2022-11-19,19-350,POR,UTA,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,9,8,18,3,12,8,7,4,8,5,14,18,14,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.1451612903225806,0.0,0.1379310344827586,0.2307692307692307,0.1363636363636363,0.0,0.2142857142857142,0.0,0.1269841269841269,0.0921052631578947,0.0,0.1379310344827586,0.1538461538461538,0.125,0.2592592592592592,0.0,0.225,0.0,0.0,0.2258064516129032,10,6,7,5,40.0,74.0,63.0,71.0,20.0,0.1587301587301587,0.15,0.0,0.0985915492957746,0.25,17,,58.0,3.411764705882353,0.0,69.5,4.088235294117647,5.7,0.0,-6.2,-5.4,-0.8,0.0048392300247338,0.411,0.66,0.075,-0.2,-0.1,L (-5),L (-5)
16.0,2.0,2022-11-21,19-352,POR,MIL,0,1.3833333333333333,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,+6,0.0,0.0,,9,8,18,3,12,8,7,4,8,5,14,18,14,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.1451612903225806,0.0,0.1379310344827586,0.2307692307692307,0.1363636363636363,0.0,0.2142857142857142,0.0,0.1269841269841269,0.0921052631578947,0.0,0.1379310344827586,0.1538461538461538,0.125,0.2592592592592592,0.0,0.225,0.0,0.0,0.2258064516129032,10,6,7,5,40.0,74.0,63.0,71.0,20.0,0.1587301587301587,0.15,0.0,0.0985915492957746,0.25,17,0.0,77.0,4.529411764705882,0.0,81.9,4.81764705882353,5.7,0.0,-6.2,-5.4,-0.8,0.0048392300247338,0.411,0.66,0.075,-0.2,-0.1,L (-8),L (-8)
17.0,3.0,2022-11-23,19-354,POR,CLE,0,2.7,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,-3,0.0,0.0,,9,8,18,3,12,8,7,4,8,5,14,18,14,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.1451612903225806,0.0,0.1379310344827586,0.2307692307692307,0.1363636363636363,0.0,0.2142857142857142,0.0,0.1269841269841269,0.0921052631578947,0.0,0.1379310344827586,0.1538461538461538,0.125,0.2592592592592592,0.0,0.225,0.0,0.0,0.2258064516129032,10,6,7,5,40.0,74.0,63.0,71.0,20.0,0.1587301587301587,0.15,0.0,0.0985915492957746,0.25,17,1.0,49.0,2.8823529411764706,0.7,54.89999999999999,3.229411764705882,5.7,0.0,-6.2,-5.4,-0.8,0.0048392300247338,0.411,0.66,0.075,-0.2,-0.1,L (-18),L (-18)
18.0,,2022-11-25,19-356,POR,NYK,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,9,8,18,3,12,8,7,4,8,5,14,18,14,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.1451612903225806,0.0,0.1379310344827586,0.2307692307692307,0.1363636363636363,0.0,0.2142857142857142,0.0,0.1269841269841269,0.0921052631578947,0.0,0.1379310344827586,0.1538461538461538,0.125,0.2592592592592592,0.0,0.225,0.0,0.0,0.2258064516129032,10,6,7,5,40.0,74.0,63.0,71.0,20.0,0.1587301587301587,0.15,0.0,0.0985915492957746,0.25,17,,76.0,4.470588235294118,0.0,70.69999999999999,4.158823529411764,5.7,0.0,-6.2,-5.4,-0.8,0.0048392300247338,0.411,0.66,0.075,-0.2,-0.1,W (+3),W (+3)
19.0,,2022-11-27,19-358,POR,BRK,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,9,8,18,3,12,8,7,4,8,5,14,18,14,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.1451612903225806,0.0,0.1379310344827586,0.2307692307692307,0.1363636363636363,0.0,0.2142857142857142,0.0,0.1269841269841269,0.0921052631578947,0.0,0.1379310344827586,0.1538461538461538,0.125,0.2592592592592592,0.0,0.225,0.0,0.0,0.2258064516129032,10,6,7,5,40.0,74.0,63.0,71.0,20.0,0.1587301587301587,0.15,0.0,0.0985915492957746,0.25,17,,71.0,4.176470588235294,0.0,91.7,5.394117647058824,5.7,0.0,-6.2,-5.4,-0.8,0.0048392300247338,0.411,0.66,0.075,-0.2,-0.1,L (-14),L (-14)
20.0,,2022-11-29,19-360,POR,LAC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,9,8,18,3,12,8,7,4,8,5,14,18,14,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.1451612903225806,0.0,0.1379310344827586,0.2307692307692307,0.1363636363636363,0.0,0.2142857142857142,0.0,0.1269841269841269,0.0921052631578947,0.0,0.1379310344827586,0.1538461538461538,0.125,0.2592592592592592,0.0,0.225,0.0,0.0,0.2258064516129032,10,6,7,5,40.0,74.0,63.0,71.0,20.0,0.1587301587301587,0.15,0.0,0.0985915492957746,0.25,17,,66.0,3.882352941176471,0.0,84.39999999999999,4.96470588235294,5.7,0.0,-6.2,-5.4,-0.8,0.0048392300247338,0.411,0.66,0.075,-0.2,-0.1,L (-6),L (-6)
21.0,4.0,2022-11-30,19-361,POR,LAL,0,2.3666666666666667,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3,0.0,0.0,,9,8,18,3,12,8,7,4,8,5,14,18,14,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.1451612903225806,0.0,0.1379310344827586,0.2307692307692307,0.1363636363636363,0.0,0.2142857142857142,0.0,0.1269841269841269,0.0921052631578947,0.0,0.1379310344827586,0.1538461538461538,0.125,0.2592592592592592,0.0,0.225,0.0,0.0,0.2258064516129032,10,6,7,5,40.0,74.0,63.0,71.0,20.0,0.1587301587301587,0.15,0.0,0.0985915492957746,0.25,17,0.0,87.0,5.117647058823529,0.0,85.3,5.017647058823529,5.7,0.0,-6.2,-5.4,-0.8,0.0048392300247338,0.411,0.66,0.075,-0.2,-0.1,,
22.0,,2022-12-03,19-364,POR,UTA,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,9,8,18,3,12,8,7,4,8,5,14,18,14,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.1451612903225806,0.0,0.1379310344827586,0.2307692307692307,0.1363636363636363,0.0,0.2142857142857142,0.0,0.1269841269841269,0.0921052631578947,0.0,0.1379310344827586,0.1538461538461538,0.125,0.2592592592592592,0.0,0.225,0.0,0.0,0.2258064516129032,10,6,7,5,40.0,74.0,63.0,71.0,20.0,0.1587301587301587,0.15,0.0,0.0985915492957746,0.25,17,,92.0,5.411764705882353,0.0,78.70000000000002,4.629411764705884,5.7,0.0,-6.2,-5.4,-0.8,0.0048392300247338,0.411,0.66,0.075,-0.2,-0.1,L (-19),L (-19)
23.0,,2022-12-04,20-000,POR,IND,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,9,8,18,3,12,8,7,4,8,5,14,18,14,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.1451612903225806,0.0,0.1379310344827586,0.2307692307692307,0.1363636363636363,0.0,0.2142857142857142,0.0,0.1269841269841269,0.0921052631578947,0.0,0.1379310344827586,0.1538461538461538,0.125,0.2592592592592592,0.0,0.225,0.0,0.0,0.2258064516129032,10,6,7,5,40.0,74.0,63.0,71.0,20.0,0.1587301587301587,0.15,0.0,0.0985915492957746,0.25,17,,63.0,3.7058823529411766,0.0,76.50000000000001,4.500000000000001,5.7,0.0,-6.2,-5.4,-0.8,0.0048392300247338,0.411,0.66,0.075,-0.2,-0.1,W (+5),W (+5)
24.0,,2022-12-08,20-004,POR,DEN,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,9,8,18,3,12,8,7,4,8,5,14,18,14,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.1451612903225806,0.0,0.1379310344827586,0.2307692307692307,0.1363636363636363,0.0,0.2142857142857142,0.0,0.1269841269841269,0.0921052631578947,0.0,0.1379310344827586,0.1538461538461538,0.125,0.2592592592592592,0.0,0.225,0.0,0.0,0.2258064516129032,10,6,7,5,40.0,74.0,63.0,71.0,20.0,0.1587301587301587,0.15,0.0,0.0985915492957746,0.25,17,,83.0,4.882352941176471,0.0,83.5,4.911764705882353,5.7,0.0,-6.2,-5.4,-0.8,0.0048392300247338,0.411,0.66,0.075,-0.2,-0.1,W (+16),W (+16)
