Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Cam Reddish,Shared Games with Derrick Rose,Shared Games with Evan Fournier,Shared Games with Immanuel Quickley,Shared Games with Isaiah Hartenstein,Shared Games with Jalen Brunson,Shared Games with Jericho Sims,Shared Games with Miles McBride,Shared Games with Mitchell Robinson,Shared Games with Obi Toppin,Shared Games with Quentin Grimes,Shared Games with RJ Barrett,Shared Games with Ryan Arcidiacono,Shared Games with Svi Mykhailiuk,Shared Games with Trevor Keels,Cam Reddish,DaQuan Jeffries,Derrick Rose,Evan Fournier,Feron Hunt,Immanuel Quickley,Isaiah Hartenstein,Jalen Brunson,Jericho Sims,Miles McBride,Mitchell Robinson,Obi Toppin,Quentin Grimes,RJ Barrett,Ryan Arcidiacono,Svi Mykhailiuk,Trevor Keels,co_inf with Cam Reddish,co_inf with DaQuan Jeffries,co_inf with Derrick Rose,co_inf with Evan Fournier,co_inf with Feron Hunt,co_inf with Immanuel Quickley,co_inf with Isaiah Hartenstein,co_inf with Jalen Brunson,co_inf with Jericho Sims,co_inf with Miles McBride,co_inf with Mitchell Robinson,co_inf with Obi Toppin,co_inf with Quentin Grimes,co_inf with RJ Barrett,co_inf with Ryan Arcidiacono,co_inf with Svi Mykhailiuk,co_inf with Trevor Keels,Shared Games with Moses Brown,Shared Games with Josh Hart,Blake Griffin,Duane Washington Jr.,Isaiah Roby,Josh Hart,co_inf with Blake Griffin,co_inf with Duane Washington Jr.,co_inf with Isaiah Roby,co_inf with Josh Hart,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11.0,11.0,2022-11-09,27-345,NYK,BRK,1.0,31.266666666666666,7.0,15.0,0.467,4.0,8.0,0.5,6.0,9.0,0.667,1.0,10.0,11.0,3.0,0.0,0.0,4.0,1.0,24.0,16.5,-29.0,7.0,3.0,0.4285714285714285,20,27,23,76,77,66,50,59,55,62,66,70,11,13,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,0.8518518518518519,,0.9382716049382716,0.9390243902439024,0.9705882352941176,0.9615384615384616,0.921875,0.9322033898305084,0.9253731343283582,0.9295774647887324,0.958904109589041,0.55,0.40625,1.0,15,21,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2763157894736842,17,10.0,31.0,1.8235294117647056,14.1,31.5,1.8529411764705883,20.3,8.1,3.7,3.9,-0.2,0.2034895942821105,0.581,0.444,0.371,3.9,5.0,L (-27),L (-27)
12.0,12.0,2022-11-11,27-347,NYK,DET,1.0,32.983333333333334,8.0,18.0,0.444,0.0,7.0,0.0,5.0,5.0,1.0,4.0,4.0,8.0,5.0,0.0,0.0,2.0,5.0,21.0,15.1,13.0,11.0,8.0,0.7272727272727273,20,27,23,76,77,66,50,59,55,62,66,70,11,13,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,0.8518518518518519,,0.9382716049382716,0.9390243902439024,0.9705882352941176,0.9615384615384616,0.921875,0.9322033898305084,0.9253731343283582,0.9295774647887324,0.958904109589041,0.55,0.40625,1.0,15,21,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2763157894736842,17,9.0,67.0,3.941176470588236,13.1,81.20000000000002,4.776470588235295,20.3,8.1,3.7,3.9,-0.2,0.2034895942821105,0.581,0.444,0.371,3.9,5.0,W (+9),W (+9)
13.0,13.0,2022-11-13,27-349,NYK,OKC,1.0,33.25,7.0,14.0,0.5,3.0,6.0,0.5,8.0,10.0,0.8,3.0,7.0,10.0,3.0,0.0,0.0,2.0,3.0,25.0,20.3,-10.0,8.0,4.0,0.5,20,27,23,76,77,66,50,59,55,62,66,70,11,13,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,0.8518518518518519,,0.9382716049382716,0.9390243902439024,0.9705882352941176,0.9615384615384616,0.921875,0.9322033898305084,0.9253731343283582,0.9295774647887324,0.958904109589041,0.55,0.40625,1.0,15,21,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2763157894736842,17,12.0,57.0,3.3529411764705883,17.100000000000005,58.99999999999999,3.4705882352941173,20.3,8.1,3.7,3.9,-0.2,0.2034895942821105,0.581,0.444,0.371,3.9,5.0,L (-10),L (-10)
14.0,14.0,2022-11-15,27-351,NYK,UTA,1.0,31.216666666666665,5.0,11.0,0.455,2.0,6.0,0.333,3.0,3.0,1.0,1.0,4.0,5.0,1.0,0.0,1.0,4.0,2.0,15.0,7.8,-12.0,5.0,3.0,0.6,20,27,23,76,77,66,50,59,55,62,66,70,11,13,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,0.8518518518518519,,0.9382716049382716,0.9390243902439024,0.9705882352941176,0.9615384615384616,0.921875,0.9322033898305084,0.9253731343283582,0.9295774647887324,0.958904109589041,0.55,0.40625,1.0,15,21,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2763157894736842,17,4.0,80.0,4.705882352941177,6.599999999999998,79.1,4.652941176470588,20.3,8.1,3.7,3.9,-0.2,0.2034895942821105,0.581,0.444,0.371,3.9,5.0,W (+7),W (+7)
15.0,15.0,2022-11-16,27-352,NYK,DEN,1.0,32.28333333333333,11.0,21.0,0.524,3.0,10.0,0.3,9.0,13.0,0.692,3.0,8.0,11.0,4.0,4.0,0.0,3.0,3.0,34.0,29.2,7.0,11.0,8.0,0.7272727272727273,20,27,23,76,77,66,50,59,55,62,66,70,11,13,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,0.8518518518518519,,0.9382716049382716,0.9390243902439024,0.9705882352941176,0.9615384615384616,0.921875,0.9322033898305084,0.9253731343283582,0.9295774647887324,0.958904109589041,0.55,0.40625,1.0,15,21,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2763157894736842,17,16.0,57.0,3.3529411764705883,25.6,57.1,3.3588235294117648,20.3,8.1,3.7,3.9,-0.2,0.2034895942821105,0.581,0.444,0.371,3.9,5.0,W (+3),W (+3)
16.0,16.0,2022-11-18,27-354,NYK,GSW,1.0,30.25,7.0,15.0,0.467,3.0,7.0,0.429,3.0,4.0,0.75,4.0,3.0,7.0,2.0,0.0,0.0,4.0,3.0,20.0,11.8,-17.0,8.0,4.0,0.5,20,27,23,76,77,66,50,59,55,62,66,70,11,13,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,0.8518518518518519,,0.9382716049382716,0.9390243902439024,0.9705882352941176,0.9615384615384616,0.921875,0.9322033898305084,0.9253731343283582,0.9295774647887324,0.958904109589041,0.55,0.40625,1.0,15,21,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2763157894736842,17,6.0,51.0,3.0,10.599999999999998,55.6,3.2705882352941176,20.3,8.1,3.7,3.9,-0.2,0.2034895942821105,0.581,0.444,0.371,3.9,5.0,L (-10),L (-10)
17.0,17.0,2022-11-20,27-356,NYK,PHO,1.0,26.55,4.0,11.0,0.364,1.0,4.0,0.25,0.0,0.0,,1.0,5.0,6.0,2.0,1.0,0.0,3.0,1.0,9.0,4.1,-6.0,7.0,3.0,0.4285714285714285,20,27,23,76,77,66,50,59,55,62,66,70,11,13,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,0.8518518518518519,,0.9382716049382716,0.9390243902439024,0.9705882352941176,0.9615384615384616,0.921875,0.9322033898305084,0.9253731343283582,0.9295774647887324,0.958904109589041,0.55,0.40625,1.0,15,21,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2763157894736842,17,4.0,65.0,3.823529411764706,4.1,74.1,4.358823529411764,20.3,8.1,3.7,3.9,-0.2,0.2034895942821105,0.581,0.444,0.371,3.9,5.0,L (-21),L (-21)
18.0,18.0,2022-11-21,27-357,NYK,OKC,1.0,33.233333333333334,9.0,16.0,0.563,2.0,6.0,0.333,5.0,6.0,0.833,1.0,10.0,11.0,1.0,0.0,0.0,2.0,5.0,25.0,17.4,8.0,10.0,7.0,0.7,20,27,23,76,77,66,50,59,55,62,66,70,11,13,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,0.8518518518518519,,0.9382716049382716,0.9390243902439024,0.9705882352941176,0.9615384615384616,0.921875,0.9322033898305084,0.9253731343283582,0.9295774647887324,0.958904109589041,0.55,0.40625,1.0,15,21,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2763157894736842,17,13.0,88.0,5.176470588235294,15.4,88.09999999999998,5.182352941176469,20.3,8.1,3.7,3.9,-0.2,0.2034895942821105,0.581,0.444,0.371,3.9,5.0,W (+10),W (+10)
19.0,19.0,2022-11-25,27-361,NYK,POR,1.0,38.516666666666666,8.0,19.0,0.421,3.0,8.0,0.375,4.0,4.0,1.0,0.0,6.0,6.0,3.0,3.0,0.0,2.0,4.0,23.0,16.2,-17.0,11.0,5.0,0.4545454545454545,20,27,23,76,77,66,50,59,55,62,66,70,11,13,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,0.8518518518518519,,0.9382716049382716,0.9390243902439024,0.9705882352941176,0.9615384615384616,0.921875,0.9322033898305084,0.9253731343283582,0.9295774647887324,0.958904109589041,0.55,0.40625,1.0,15,21,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2763157894736842,17,10.0,83.0,4.882352941176471,14.6,83.39999999999999,4.905882352941176,20.3,8.1,3.7,3.9,-0.2,0.2034895942821105,0.581,0.444,0.371,3.9,5.0,L (-3),L (-3)
20.0,20.0,2022-11-27,27-363,NYK,MEM,1.0,34.6,4.0,9.0,0.444,1.0,5.0,0.2,5.0,6.0,0.833,2.0,8.0,10.0,9.0,0.0,0.0,1.0,4.0,14.0,16.4,-2.0,4.0,3.0,0.75,20,27,23,76,77,66,50,59,55,62,66,70,11,13,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,0.8518518518518519,,0.9382716049382716,0.9390243902439024,0.9705882352941176,0.9615384615384616,0.921875,0.9322033898305084,0.9253731343283582,0.9295774647887324,0.958904109589041,0.55,0.40625,1.0,15,21,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2763157894736842,17,17.0,68.0,4.0,14.4,80.5,4.735294117647059,20.3,8.1,3.7,3.9,-0.2,0.2034895942821105,0.581,0.444,0.371,3.9,5.0,L (-4),L (-4)
21.0,21.0,2022-11-29,28-000,NYK,DET,1.0,30.95,14.0,24.0,0.583,6.0,13.0,0.462,2.0,4.0,0.5,1.0,6.0,7.0,5.0,1.0,0.0,3.0,3.0,36.0,26.8,36.0,11.0,8.0,0.7272727272727273,20,27,23,76,77,66,50,59,55,62,66,70,11,13,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,0.8518518518518519,,0.9382716049382716,0.9390243902439024,0.9705882352941176,0.9615384615384616,0.921875,0.9322033898305084,0.9253731343283582,0.9295774647887324,0.958904109589041,0.55,0.40625,1.0,15,21,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2763157894736842,17,18.0,105.0,6.176470588235294,26.000000000000004,102.7,6.041176470588235,20.3,8.1,3.7,3.9,-0.2,0.2034895942821105,0.581,0.444,0.371,3.9,5.0,,
22.0,22.0,2022-11-30,28-001,NYK,MIL,1.0,38.8,8.0,24.0,0.333,1.0,8.0,0.125,1.0,1.0,1.0,3.0,5.0,8.0,5.0,0.0,0.0,1.0,3.0,18.0,9.3,-7.0,16.0,7.0,0.4375,20,27,23,76,77,66,50,59,55,62,66,70,11,13,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,0.8518518518518519,,0.9382716049382716,0.9390243902439024,0.9705882352941176,0.9615384615384616,0.921875,0.9322033898305084,0.9253731343283582,0.9295774647887324,0.958904109589041,0.55,0.40625,1.0,15,21,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2763157894736842,17,5.0,55.0,3.235294117647059,8.899999999999999,57.5,3.3823529411764706,20.3,8.1,3.7,3.9,-0.2,0.2034895942821105,0.581,0.444,0.371,3.9,5.0,W (+30),W (+30)
23.0,23.0,2022-12-03,28-004,NYK,DAL,1.0,30.28333333333333,8.0,15.0,0.533,3.0,8.0,0.375,5.0,5.0,1.0,1.0,4.0,5.0,3.0,0.0,0.0,3.0,2.0,24.0,16.9,-11.0,7.0,5.0,0.7142857142857143,20,27,23,76,77,66,50,59,55,62,66,70,11,13,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,0.8518518518518519,,0.9382716049382716,0.9390243902439024,0.9705882352941176,0.9615384615384616,0.921875,0.9322033898305084,0.9253731343283582,0.9295774647887324,0.958904109589041,0.55,0.40625,1.0,15,21,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2763157894736842,17,9.0,53.0,3.117647058823529,14.899999999999997,48.0,2.823529411764706,20.3,8.1,3.7,3.9,-0.2,0.2034895942821105,0.581,0.444,0.371,3.9,5.0,L (-6),L (-6)
24.0,24.0,2022-12-04,28-005,NYK,CLE,1.0,35.13333333333333,7.0,19.0,0.368,1.0,7.0,0.143,3.0,3.0,1.0,1.0,8.0,9.0,4.0,0.0,0.0,1.0,0.0,18.0,12.4,0.0,12.0,6.0,0.5,20,27,23,76,77,66,50,59,55,62,66,70,11,13,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,0.8518518518518519,,0.9382716049382716,0.9390243902439024,0.9705882352941176,0.9615384615384616,0.921875,0.9322033898305084,0.9253731343283582,0.9295774647887324,0.958904109589041,0.55,0.40625,1.0,15,21,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2763157894736842,17,8.0,54.0,3.176470588235294,11.2,56.3,3.3117647058823527,20.3,8.1,3.7,3.9,-0.2,0.2034895942821105,0.581,0.444,0.371,3.9,5.0,L (-21),L (-21)
25.0,25.0,2022-12-07,28-008,NYK,ATL,1.0,33.233333333333334,10.0,19.0,0.526,6.0,12.0,0.5,8.0,8.0,1.0,1.0,16.0,17.0,5.0,1.0,0.0,0.0,3.0,34.0,33.5,29.0,7.0,4.0,0.5714285714285714,20,27,23,76,77,66,50,59,55,62,66,70,11,13,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,0.8518518518518519,,0.9382716049382716,0.9390243902439024,0.9705882352941176,0.9615384615384616,0.921875,0.9322033898305084,0.9253731343283582,0.9295774647887324,0.958904109589041,0.55,0.40625,1.0,15,21,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2763157894736842,17,30.0,73.0,4.294117647058823,30.300000000000004,62.7,3.6882352941176473,20.3,8.1,3.7,3.9,-0.2,0.2034895942821105,0.581,0.444,0.371,3.9,5.0,W (+11),W (+11)
